,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-1835.5103012101827,-1675.0582991686906,-1402.2716692742479,-1152.287903133572,-1265.88528521087,-1267.8678658177548,-1684.7671662032985,-1246.1067337057316,-2046.5858923532335,-1631.6417908494136,-1174.4763418639693,-1178.7208190976799,-697.0722450962322,-756.304392197923,-630.7223477481076,-610.4187002159184,-663.3529231962583,-592.3468628888821,-512.2486257118522,-551.3391220741073,-545.0990073862597,-497.55870160688403,-341.73684945469466,-396.6339598493068,-422.952724090613,-325.6099357922885,-320.2853351618924,-575.7198799650221,-518.6498849663068,-343.67312692767973,-650.2570377462928,-345.8552835617063,-346.13451896905093,-396.6498864980719,-337.48830648212487,-348.4275792818478,-317.7493980903614,-320.80283077860327,-333.65259754934385,-325.6219790268572,-318.37179590160616,-331.68630701386746,-276.0961381382795,-312.6494115755675,-301.48839005298055,-263.08053810842944,-267.98723638719423,-274.6225564037658,-296.15003888099596,-294.98755944964716,-343.4875575609634,-258.75038497801967,-344.2916553761455,-318.38612553044,-256.3063963382878,-265.85968983413534,-336.66972319485564,-364.28658655875375,-249.31195738221993,-291.23930435471385,-271.52492214683065,-292.93086038230456,-280.53215808215026,-292.24182564630655,-272.053696078189,-288.62705625483676,-297.5610215206502,-281.96048439197824,-261.83795930376033,-286.56716850216367,-273.84035395002144,-239.61039238907932,-270.73492237574277,-275.62084449615105,-251.33394170560663,-251.34848846752294,-287.7521001744221,-269.85779170857904,-280.79401127182194,-273.8903396176391,-250.65435394568226,-259.1828329118255,-242.08581486257467,-256.110963567693,-260.83442529315704,-252.047390469509,-264.3676627102658,-253.3233733431253,-288.5494782998662,-270.4812436616754,-279.20511839853737,-263.25496342496456,-248.46607539621135,-269.95822288195365,-230.311824490212,-251.73200882572382,-267.00463559014355,-258.761393688817,-250.3066001890162,-238.0376260663646
1,-1731.5997396719242,-1707.7368838150694,-1345.7105252232218,-1345.1513351450146,-1160.892900620322,-2163.288745701237,-1936.5730718648263,-1369.9394573034424,-736.7931754300095,-706.5881793161037,-548.6732159631266,-601.0367933092446,-553.216447313475,-523.0402338258543,-416.7453472574424,-414.25879129463846,-427.2261040183567,-442.1227485971079,-365.0445748069813,-375.53129876715207,-349.2962506036481,-337.51518185793816,-336.55678673875667,-360.79852785507694,-369.3809110541041,-376.2781482337728,-367.7257002493227,-394.4934316461938,-355.1578348374756,-339.07741465442405,-295.7445738214766,-304.8703862090257,-318.8584840108028,-309.46836646856053,-330.2312987906227,-590.5271166882579,-302.9794113543914,-289.6420355599346,-273.5623765825782,-308.01380687113794,-307.7751594285097,-283.00818868469577,-276.8485915254456,-276.79164640763156,-266.1022814252521,-278.10238621129326,-285.30865864847584,-280.68058151580783,-265.24141195344134,-282.2020404750152,-263.418924168451,-262.25676676279625,-261.7235323382096,-281.94330589029573,-263.1402914359161,-288.8877972506086,-347.17040392430204,-275.03773237661255,-303.9129037482837,-290.67016592823194,-258.285127281988,-264.420665691874,-251.22873971954888,-262.6432861698212,-276.07201169623943,-248.4017130471037,-278.2135137210001,-259.4747514123811,-252.25010438958606,-254.745749176873,-270.4354560777338,-262.6662405513789,-276.90900254489515,-270.1936586396621,-258.6500145039176,-269.81489688162435,-278.19865920412775,-257.8219435803416,-255.29835637916113,-274.5195090121713,-259.6271837454408,-262.89144576586546,-272.1261525868715,-268.3291184333274,-266.5365351802118,-264.36640817014614,-253.4625480914538,-279.87522758059083,-245.86508714557553,-243.33891448063844,-252.17070914613163,-260.889030473998,-257.03057984537054,-260.83681274140673,-277.03673417653846,-250.82299781213143,-253.4938722721545,-284.72320134784377,-251.35888265927525,-243.6318707073907
2,-1665.0448913379328,-1508.583796471984,-1246.9218790833856,-1291.8757904732652,-1478.9209569780514,-1582.1168544523357,-1198.8381201605905,-1386.2015826648428,-1022.8515027600159,-1040.17078033783,-787.6429951221213,-544.4774254729166,-521.1813303078922,-427.92612795129673,-484.7721228418309,-401.6508901158453,-449.11473914377905,-412.6688493739273,-529.2271911595853,-440.3159605262651,-466.1916421154733,-360.8106120283967,-415.98708361794013,-375.3396109082769,-411.13037169862935,-632.8924518149992,-677.6819296728952,-374.78313818508457,-389.5054758520046,-350.00011592551897,-324.7752332388421,-310.14296383362876,-282.00907638455067,-295.63832223015856,-282.2090249815138,-302.1326340837505,-298.005711161368,-287.87045194807,-297.1714473275915,-273.2501710956351,-287.62708634785344,-303.09777512882306,-298.6294724651152,-321.9853243908119,-292.40760427788666,-273.93664626094926,-288.99071782063,-254.99250186277303,-295.86590070822535,-298.6255694543064,-328.55655266204445,-315.60543334350706,-287.2931142978831,-262.65940588168553,-289.62537889904524,-302.84250811329764,-294.9746611525289,-289.58647947686853,-297.2269404079278,-267.2367259353154,-313.8250156546682,-280.7599128704743,-259.0873534078961,-256.9030002781727,-287.9820373240229,-249.7660967802393,-260.67166958029765,-279.30679398012734,-266.2083827706913,-263.4539739901589,-320.94425968723397,-273.89955765810106,-268.7239020413471,-288.6445446939307,-270.253319971309,-279.5373889343253,-254.35922799813042,-239.62435012720908,-267.76057058824114,-259.10588491773586,-257.9210549600793,-256.6024751599137,-272.0688791540531,-258.5921107701505,-262.30262734767564,-256.5777340837242,-262.5798976894635,-276.32414500366104,-293.15111039078903,-268.08439727240096,-259.27768627832575,-258.48308913145667,-267.201268386827,-303.3718760495608,-263.9938211496478,-268.443883388098,-267.5718631760554,-279.3693790051976,-272.8619000272477,-267.95797188343664
3,-1405.1845250465667,-1378.2065828518353,-1883.250489654248,-1506.2672039719564,-1352.1862952634217,-1673.1083399650722,-1225.0476433068518,-1024.8032081496826,-1490.4178550096517,-908.9108123877623,-585.9534557848243,-589.0783555824731,-666.1834377941301,-665.2204727423481,-569.0590002781144,-509.55744485010416,-602.5998348072322,-826.7705194954838,-599.6470303687282,-544.2547363898361,-556.6529980117527,-636.5242003446153,-592.8822174138302,-537.4700776407925,-430.5482440404578,-424.5411771522958,-453.6505040845065,-534.7683101162115,-491.12392956320184,-484.6750793772903,-499.54620981413404,-534.0811161357619,-478.41935389228684,-464.1297220004418,-390.68856453135254,-447.0596820056369,-435.87629791454725,-454.2912109267384,-465.92807845212127,-449.6712883925447,-441.7000529097601,-358.02436148493877,-433.4460571534192,-379.91656818367363,-406.8331493491688,-369.3709626913967,-362.62002694154756,-341.88409411205504,-329.3086423669864,-362.41010263839985,-289.62766192721466,-318.58288305141946,-315.15960715653785,-317.3588132325233,-275.89575610476726,-276.4872069558367,-305.754733621844,-256.122518795411,-269.3456419292119,-278.7609233506221,-239.49321882209998,-274.44499085128825,-308.3309935186945,-272.8793838259509,-259.41190699492154,-267.05222831298005,-272.6398682488873,-285.1397095200886,-251.7603113648347,-241.31127097343398,-235.82580675918155,-255.23788959313546,-242.58301761681912,-241.12425528170047,-234.40011147073312,-257.69478136072115,-239.2275987039887,-243.39643973380512,-236.20022799746675,-233.48711405910342,-253.4203561177749,-228.10202518653077,-256.27096959276275,-243.82854336402875,-234.82152126541862,-248.47211521841066,-249.27234599766888,-252.50254164566448,-264.0365669439574,-239.00351547867572,-238.87857598076545,-236.81264040730977,-237.23764473978528,-227.81957562346616,-248.94041302157078,-242.21524465773498,-250.11525116008093,-236.47995964264578,-246.86419278862832,-239.62209057719815
4,-2080.1876420981303,-2079.459814761998,-2089.0894332024845,-2047.4916179725114,-2235.934116671757,-2382.9037925606135,-2001.2546670457232,-1455.4715460319924,-1615.5553106671875,-972.5687727555057,-922.8805584594053,-940.2305044081991,-843.1575438645169,-840.6823672528349,-808.3559691304915,-798.4645730541821,-762.5074933359331,-718.0108943425494,-771.4463572621954,-764.8831048114894,-689.6840227627733,-602.6990832135441,-578.1409882495495,-543.2211203764583,-366.4561914128829,-395.7319284274326,-439.01047954789675,-472.29316894880264,-696.8719148463045,-789.4225744178898,-548.6615156288643,-446.2576738025001,-477.5329277991414,-455.7737804560897,-445.6566616146729,-345.14848032267463,-359.801800214242,-323.85928755955456,-340.74010354957073,-340.6274828561272,-362.4872310955352,-326.65967409306563,-290.45108524256375,-343.3633321654845,-271.05217499329115,-269.90225336625707,-259.9981953054227,-282.3654234078206,-279.346803344757,-250.3481136822458,-299.83402867851896,-284.67557836224995,-273.48186085720846,-279.7472806741247,-283.8510650457695,-272.40937907721406,-272.8708358862107,-264.1025701185787,-266.6742798721107,-283.51757118862673,-253.35519372652462,-266.0915775871109,-239.4634924604609,-238.1621429285944,-285.7467855502408,-232.20161764311436,-268.9776557350952,-234.1395232762763,-244.1131053060063,-259.9931852105011,-237.2447847572599,-250.76091143296586,-252.7451805350257,-250.08855650748123,-247.85980049161122,-231.77979954786036,-248.4331042030891,-256.6003550189101,-248.2034627920877,-280.69780916869234,-260.61686175226976,-237.63680439053266,-252.61053304245834,-246.750914255121,-256.9243536231262,-244.13382749425443,-263.2382968854336,-271.19612758837246,-238.95556428780446,-302.9877855172405,-248.91100923470123,-285.75458856372086,-243.26135159073834,-281.6649829435353,-261.3312620114558,-257.09877898036063,-252.8186084294319,-256.19916919398145,-264.7378109376901,-250.011541879433
5,-1936.7162990784086,-2237.1034458250797,-1704.174587743053,-1452.5017350432554,-1295.3687659069449,-1874.090830934839,-1222.0826934297013,-1071.438701449387,-1142.039670717013,-1054.1013577135782,-808.7221891194366,-775.9524566556703,-744.5734533615216,-751.2654556777104,-981.8347809406833,-715.6739849082194,-285.7821610327962,-309.9292749165959,-354.3928654467279,-350.2767765239767,-373.4349211223388,-365.45798139652806,-468.23230065234486,-349.30147973312205,-369.3501429015688,-408.2082749410982,-328.51093662855874,-282.9049429230559,-375.54965526024364,-293.9934337652844,-343.5269813872583,-326.88005434289965,-278.9603075404609,-285.4188798462555,-307.5293608241273,-323.136996887104,-320.3620138525225,-300.50712458103,-294.28582790201034,-284.2442008825423,-261.80186022223285,-312.84770988522934,-270.2117193275443,-283.7798992758406,-265.5355205076355,-280.768154691757,-240.14406255888753,-265.76098405697206,-235.60230474481395,-234.10057479689414,-245.1746381993409,-237.85269315649495,-254.48571887773923,-230.93363528407164,-250.0394350847494,-233.96484464663507,-246.14147609530053,-267.41260510710305,-230.51341567556867,-235.59719974961072,-257.17573534514025,-263.75378711305245,-253.23884419999675,-244.60146926082172,-258.6946423031395,-237.61086979312572,-246.57222366389726,-246.5241160802663,-241.25176770829853,-252.58552348388108,-256.84984866428664,-257.7979745886557,-262.7799550647329,-235.64036335802317,-244.5027899135591,-240.83510329848352,-245.67030722217513,-239.80000169658177,-263.3964946276111,-246.54777618538358,-256.60420107630824,-238.59663463773703,-242.47367173702668,-229.13627070874085,-250.53899460242374,-252.23146401045713,-248.41047127941573,-233.89554423954263,-244.13610797219883,-250.9350152315088,-248.12412754780578,-245.86883606298403,-276.1682818997717,-230.26532424743226,-256.68822226023997,-250.48160830254074,-251.30935771720144,-249.4458127769989,-245.6987699399241,-258.567011633174
6,-1559.8169315542875,-1671.7968027790093,-1737.075961471299,-1700.3707169510767,-1384.4996888047326,-1338.808593879813,-1196.1907509402324,-1660.7019538510494,-884.6145142417136,-729.8124865581958,-680.0119492544787,-805.7440315368485,-653.5470425519576,-712.036897452631,-485.23250348924836,-464.52720529088924,-300.86719579671484,-289.65514148886626,-274.54079382685546,-302.3567627580121,-308.8932829227608,-272.7960463774203,-292.9142915299083,-298.66923615803154,-301.68600344609104,-335.5872830247069,-344.0680819107405,-349.5926298053912,-381.1410752872744,-382.29868738241373,-331.6209999064585,-332.294462569034,-347.27471138310705,-348.5376859304328,-352.3544525923088,-314.5118166380441,-278.94755690813366,-344.71738527995933,-308.9149114814335,-296.40503170200793,-326.7230612780514,-325.54327453695043,-302.7214210896186,-285.10418200473947,-293.3723031810546,-291.400254427774,-305.24090972623037,-262.68993819763944,-272.53378830063235,-294.87643134775584,-254.00672068556244,-262.02517011519996,-295.49358232694334,-251.3246551918304,-271.9533126294923,-277.198151672618,-266.3204440788143,-239.57198290303174,-273.4462538638222,-277.1511476467161,-239.85615535740277,-276.50956459744526,-306.78425194463557,-253.89965782871496,-235.65477678047702,-246.5162732485479,-343.89484401239315,-302.9157620964491,-343.85332033853643,-390.1094795723152,-368.5920746421129,-340.19344069916195,-350.8797679187726,-337.75088285261177,-383.07547731064784,-319.74337134582146,-351.0378551457712,-333.09051553108134,-323.9063165231767,-315.5178090343056,-326.11072295766684,-356.20420701050983,-254.4156864803816,-235.4363609116478,-255.06876483542797,-252.77778040873207,-253.49683411426437,-238.67435970298158,-249.6852242011883,-264.14460909750244,-244.62176050319687,-248.56338745804374,-242.37003218775547,-267.71350567091014,-231.65994660683228,-273.4569113732086,-237.1248949487659,-246.8902862439973,-238.91464123590043,-261.1309550247948
7,-1636.3803126286107,-2239.2864143240035,-2159.2276962397655,-1678.2203922458039,-2015.4437177508282,-2046.2461825079954,-1943.3677530661535,-1243.7183555288668,-1475.388559472454,-1455.89248880226,-1157.8364166820504,-898.6360726179553,-786.2568483852175,-573.6078810951683,-673.8793289055772,-543.6233306663031,-550.3485816394126,-501.1400693986718,-474.6850061522175,-451.1971981427538,-427.87719336700525,-459.23582286917343,-396.58469018272956,-426.4492854277145,-354.7936420818216,-401.0356038430195,-344.17064983798474,-345.848734603487,-369.46189368864754,-330.91300546450117,-324.78340375526756,-327.6261166694488,-269.53095635669644,-317.10228641918195,-267.9142725253326,-266.5164560522804,-290.1090061895363,-296.10081827182216,-439.1433149863541,-749.6624617878343,-270.2268458072306,-260.097899101575,-610.4967646959395,-260.3158895186732,-325.0935348017898,-268.63874493952187,-238.18770139680794,-262.74853295066305,-278.79754149217194,-245.46180471580914,-286.94173242520446,-304.78733311469995,-292.61417079776874,-307.04887401691207,-309.51718641240547,-326.5055966050742,-307.3972758967742,-265.5517446290764,-298.1183863515079,-309.5267155949012,-291.9507195046757,-286.9536643781526,-405.3076040558529,-305.086084116102,-310.7786481748661,-339.46701769587025,-297.66095349560624,-311.14635470395166,-280.97023778987653,-312.7945223358665,-275.9654701873624,-275.83208017948306,-340.9442656638478,-344.0853671673297,-285.7294925185576,-287.2908865570844,-265.76448030764243,-260.88369438573443,-297.97675124597515,-267.04168826595,-258.2282093600275,-410.095395127466,-295.7214171481102,-281.9210149883131,-278.33972698308054,-267.20787967171856,-273.99835117687155,-304.1372078667782,-276.352517508376,-345.6285168052503,-297.4827892820863,-391.189282595933,-286.3310178310275,-286.9691462972316,-305.0515819631324,-300.91623008156216,-351.7857948586094,-255.0305080284455,-276.22875689037545,-294.0410807690499
8,-1968.058653591444,-1286.5751848005557,-1198.5889246952825,-979.8480367357622,-1436.8978628010286,-1460.7595181598058,-1348.3181784492906,-664.631909276407,-510.88625679782405,-412.19301987535243,-354.3139283853844,-388.181625423505,-559.8221026685203,-375.8425284374647,-389.036679113917,-410.96614719054855,-409.4959996595628,-343.1595339656316,-354.7243147401518,-346.0085369542064,-392.3761203706649,-328.7954476618099,-359.1598887107044,-365.1225396836069,-312.04003236337195,-320.0660661400466,-313.77224305001016,-332.76698873724234,-325.79835074498897,-273.5349129921344,-279.6372595627998,-261.30779232621,-281.28848166970454,-264.76790644435215,-325.07290261853433,-255.9962355652321,-276.7940918491808,-286.0429478926807,-243.2625681783686,-281.5457514933386,-267.77868685604614,-260.5789251607011,-257.09954642365955,-273.6112515550929,-346.13248929373583,-292.64416847352607,-378.91966796281264,-317.5708044212298,-259.59467047132574,-293.4846254359987,-274.38157165638074,-279.0518687248775,-279.3700413931068,-266.06991244935824,-279.2613543093448,-281.6961880555248,-264.5904680185855,-262.99277781373934,-264.12851011592676,-288.157378099537,-290.57724783885834,-276.82250608983554,-272.3385591864136,-269.6062182148462,-269.30915056114884,-269.12194804660606,-276.79596046805545,-260.02527835050296,-274.0236350205815,-246.8799802388785,-263.86702563679825,-235.4490497165886,-262.39295846349376,-249.53236330941948,-238.66762791584435,-248.81628894306087,-241.4322507395315,-237.1761820733173,-240.1658341576704,-244.66553893252302,-239.05521439457928,-258.3708160611405,-257.04051578167673,-264.51707136762633,-239.90092105264827,-236.89444267273296,-239.1222520995561,-268.15836465552576,-251.23284017269418,-242.4363619259731,-246.83078310086196,-248.13981033920388,-253.19187969931681,-267.4038525432162,-244.1120955674098,-248.0248864631778,-248.76399402318637,-252.7874762950884,-269.1624863896537,-248.64612715630582
9,-1937.8357754024735,-1774.8802122949435,-1586.7853182941028,-1875.377935196933,-2426.630114582635,-2538.959728066079,-2230.8133635683907,-1026.435567954842,-998.0304960128186,-830.455870150448,-799.635888460096,-838.494184115048,-730.628896190929,-777.6588475780558,-734.786120895341,-919.6521786267879,-505.59440806352154,-546.4120924467243,-496.2218239737805,-417.55586305850596,-422.78397902816545,-424.4055857004461,-405.21999647109544,-685.987624471114,-354.92539901721625,-395.1001703914721,-337.7347623854072,-394.5732756435819,-352.6424059882385,-348.0668185971034,-380.7180753934246,-351.7407966770454,-290.82317906209937,-364.9510513548964,-289.35728852533884,-385.5580612091881,-455.0733716064138,-386.38201310912893,-424.3420777355524,-608.075139109187,-450.57147983566676,-391.6924824127867,-357.22158329326464,-368.94312340514887,-324.0700569229032,-312.10708344853475,-333.6222118445977,-308.0526235650542,-275.9025921424454,-390.43064886638444,-294.95064398811525,-272.64773116171494,-246.1444822237308,-250.53158619828557,-243.844499782317,-277.2307274564402,-271.5965323951768,-254.2540361807073,-246.61276233701443,-234.46141814741063,-263.8173719325468,-261.5944028811711,-259.58750726429463,-255.7883563276143,-287.55694792580067,-240.52309511202412,-254.69965901975456,-250.7558104067653,-258.4083709225503,-255.2364999228117,-257.00419689586545,-262.86050031694447,-265.83381456223543,-272.65537922955394,-275.84166002063233,-274.86329414574925,-270.2984953931162,-275.75165107176895,-283.0607901057178,-246.69582579809077,-267.15893202195235,-250.93555068316346,-250.36796838332108,-294.97740311186396,-272.74543719975736,-253.04356080606232,-258.80586605296605,-297.48139957675903,-277.1721938049817,-269.0225896609995,-230.2868266318406,-289.8701370797816,-261.0707445535317,-331.1148536953107,-275.91643612229996,-320.5265785819416,-267.26394038022323,-288.15508911147526,-258.5245894918754,-265.18730415353457
