,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-581.9866464881226,-527.0592724645875,-565.5390900467146,-485.0123675933971,-433.137832584148,-455.7164956133828,-660.0371324073734,-611.6225812362577,-595.5728028524145,-596.3781914630624,-548.8598594603341,-548.2170872424207,-556.443901434583,-499.2760700107715,-463.9317835907169,-319.22502829216984,-369.83378428377375,-262.54781111357937,-367.3213763600129,-542.8329407044108,-322.89776384932094,-383.99569665176966,-345.93837279720333,-368.1408308844229,-459.924019269458,-325.72452362722146,-488.39075682949544,-406.9368535377189,-342.85385750760577,-315.51847758248806,-326.09195625352766,-276.23974046271314,-415.088050598709,-337.19671531327566,-464.47819276250004,-330.75470312650026,-364.26673339925196,-432.919348845933,-429.8120945903218,-430.89427360045715,-445.4678686804367,-465.2901499825645,-464.2109323902453,-418.94174820199026,-496.81846862274693,-322.4209914743314,-413.8764478582831,-356.4657561760423,-316.19506493041075,-469.8196127054773,-385.35685956388676,-491.6794384044044,-439.2318301938723,-367.3013587353712,-333.03246051720237,-325.4331850013592,-432.12299165009864,-483.43486583525623,-505.6034135855801,-557.9381308279034,-477.38949871539796,-595.1621505373002,-452.9382634987051,-498.26534727930886,-410.71775622792944,-332.82692383297604,-335.92177527638177,-541.5143718877733,-481.3259554375483,-301.9125027385336,-292.8395565940183,-373.1671418855442,-522.6409630853775,-356.0463850643642,-398.3219063917655,-488.27854179849396,-528.4346064553054,-317.3296066160588,-602.5736165229305,-457.0691052122167,-547.9816901334711,-462.7486555333319,-463.46060802909733,-508.54820971540346,-470.1449530808038,-289.99299465626285,-450.39876511619315,-549.7867030230071,-471.8490326665874,-450.3013131603068,-560.2024350836974,-496.6805600942767,-460.5431666079581,-364.6971248341482,-476.7593590540288,-461.09505587509045,-633.7979868588678,-451.1547988848204,-466.5094785225177,-364.1731562497819
1,-536.4381206995046,-667.2697486277382,-728.488782017844,-581.0112430429624,-574.3443844116746,-609.4297370384016,-751.336414361264,-764.577918114159,-595.396203667067,-561.880349859138,-508.111838611206,-461.6764276658785,-367.87299924343085,-435.18468362114226,-536.3572797369113,-283.30150276262975,-504.6520339660017,-387.2194192232988,-321.0239966286784,-401.79948621520646,-516.1477936175847,-473.6108557944875,-389.8184984996421,-469.2884503299162,-407.3827920032623,-522.7690552344897,-368.08328408155427,-352.7504567707381,-432.32150236273674,-386.76166714232085,-317.0929855111218,-479.0004140857768,-516.5199043522175,-467.16369094703253,-473.9415635765018,-453.9997150515925,-432.8008363227684,-392.0771540885371,-350.0620470863362,-462.6231791935375,-536.8233539458935,-414.7978633917928,-409.2584240884588,-428.96422885448874,-321.6351305156722,-327.8504015507298,-465.96168421513,-474.2570215116183,-427.6486373706946,-474.0158163693721,-396.160411358879,-488.5044571681622,-443.93879570409763,-454.7519387195459,-458.9828887661531,-421.36411833504894,-460.9901450473678,-482.80976284649864,-532.2762891808263,-544.5258077308574,-419.55796560189174,-414.6459673965484,-414.59977708811283,-452.84067102121236,-464.68427529605384,-402.4005838065478,-506.983188857117,-411.0747892649431,-399.66459850352396,-415.0967014413367,-440.4791188409405,-429.0798237442749,-426.32330185269336,-477.07194597252857,-308.37345843399333,-437.00580433513375,-446.9948435923275,-296.32349449301455,-464.0874971527736,-351.8132217802341,-528.1112191641107,-368.3009376040284,-319.70895969580675,-338.4261474630497,-289.59837552189646,-331.2834495128754,-410.5421738396772,-493.8159252608921,-318.3370331475358,-433.87625590141795,-350.7446261996472,-474.16914819056035,-456.50236451421205,-428.2020137853477,-443.29983601116203,-283.64367306992045,-407.2946701309829,-330.258144183799,-464.393703912905,-290.5651456786916
2,-581.7163448955813,-625.2834202278449,-614.4223380071059,-583.5824987015983,-582.6353963916786,-623.3341295531885,-614.5370714081662,-435.2700953303627,-688.0597545305229,-772.4021188463299,-497.4738827445816,-552.8711582548182,-463.29835677338025,-369.1046127020715,-456.4329518056284,-387.37583167919496,-339.77420704250653,-416.9951060542056,-379.2547814031995,-436.2708246008495,-439.71604683516534,-577.0952590437201,-413.9996725010341,-497.7742135455961,-538.086142701966,-482.543280680768,-527.9445893789456,-429.44512235498456,-327.996494556874,-580.0454414412877,-434.93286745044054,-444.0434656313698,-454.7086342258928,-472.30347198859056,-413.19646283814194,-457.8006192836404,-491.79016264692046,-437.93027925442453,-316.098592091688,-431.389546731194,-382.5716862353867,-523.438002415635,-438.0954896604984,-476.81302089546637,-443.58350461916166,-453.5474742354688,-401.7098147888547,-521.7407248614292,-466.91251327443047,-439.324417331447,-438.31937628393445,-427.9806604248416,-457.6848656585093,-422.98709239562436,-541.0505969677805,-441.1169927568474,-469.76432965326416,-289.2823473120583,-290.69919072936443,-436.44536376377795,-273.80349098273507,-407.6248907529455,-231.08687968426193,-452.62661163579867,-376.14102504159143,-399.0723634109001,-425.7914361830579,-427.77815819814424,-502.6505118773487,-439.4276801164556,-401.07864026163156,-373.1129349078318,-350.45298050825085,-413.5244813971974,-304.60919664697235,-428.75445961646284,-414.44966175915334,-412.45805948583666,-444.6122083953068,-442.019781840974,-382.8069540793518,-378.1112536388964,-378.6420120048897,-493.87723248117913,-442.5838679638238,-426.7839979530908,-437.54226835502186,-312.8414940253295,-307.09918565072184,-364.10779574966443,-304.7929387026345,-417.1576273415089,-503.60692967117933,-523.052236503466,-436.6935838102654,-313.44251742072134,-431.47412680968665,-477.4460575498904,-423.51837957428114,-487.05323454406044
3,-611.4029394101465,-670.6192824857618,-567.1762379085084,-447.5116324218017,-564.4702935272517,-755.9523439583917,-465.536133666104,-509.4906804101772,-450.7200809651894,-419.4846857293046,-482.1928968832303,-346.98996613617413,-468.7088555634956,-467.52689833804055,-259.1472959792372,-485.79891441553247,-250.66568278904478,-271.73554993147684,-495.40150895783165,-395.452691862174,-337.5721304715101,-478.83020516864354,-304.90504608762404,-571.443199167856,-515.0974464466951,-401.3829428507112,-411.03441658430097,-349.5366793995829,-448.1804794473022,-470.77175141892593,-399.50878906978414,-437.9847354925823,-337.7599198821128,-406.8914650185135,-447.1027916205513,-433.9423885580442,-449.30336141791315,-191.90669735436305,-329.3095382348079,-414.8855571030856,-502.5695933380819,-328.46858186543074,-531.7315041871893,-457.85767514593056,-406.89750760684046,-454.0905365301953,-438.626448797126,-391.64701446630517,-447.6430506479686,-443.545796255177,-340.2220574013147,-415.1038204760377,-435.89726373444245,-272.6772264943363,-340.58190876822744,-464.2145404109643,-405.2280720255395,-430.0293651745142,-298.15249707305037,-275.1885228505812,-344.6519957865244,-361.51268970740324,-311.35264638860036,-515.58688302771,-300.8444487466024,-435.622877126704,-530.0604219172544,-353.3603254779011,-444.6646449550783,-414.1349218785906,-369.08506823544946,-448.6773453770634,-452.23414431686854,-540.4920368530683,-474.00174338367304,-385.4364495619814,-625.9256475095664,-428.33549679635223,-427.4026828282424,-510.39612746949894,-315.97607938904963,-374.82339554555176,-345.74243950525886,-484.044303504945,-349.14766315137217,-521.4620533400038,-344.36774189334517,-620.2553181898807,-452.87575375173344,-443.7278344779902,-383.04832300488573,-566.6623393083273,-203.6046924706855,-434.1039870346265,-505.8744471999732,-453.4873798138184,-507.6732236239021,-389.36129370589504,-505.17188724677317,-575.8739515644031
4,-593.4037591403209,-644.4669923077277,-649.5576520663694,-635.5281530077144,-657.5897832864929,-710.993962409063,-586.2752525139113,-751.5434918055178,-775.9257482320498,-531.6119487500375,-434.32199687135295,-446.59519381399707,-435.1773384898332,-609.2812872524576,-533.8124399262034,-419.0190702521462,-357.89656586928925,-560.0434774026844,-306.0774160914874,-430.1985226283279,-483.38552673873806,-350.5953315220303,-280.8777265376892,-513.2278150536027,-263.1810378024748,-488.8976509521214,-386.6893870659303,-420.0331332063042,-439.04049384216245,-479.87058519067523,-452.99024830788596,-422.2687806274462,-401.73264356409226,-297.10020773162506,-458.72534024417075,-502.55247917254235,-432.38597148812994,-351.44727233125235,-316.920706346335,-474.8199849039211,-443.5082714387581,-327.2067742912414,-297.9447947716809,-542.5249308655325,-377.27248534232626,-488.44857288736665,-358.8887332831212,-485.5303376014183,-468.13977513646995,-389.8053937677698,-492.0839351116309,-419.5973489966904,-360.1778875273559,-312.3145267064379,-449.7086683143979,-435.9241165999453,-482.56226942723725,-327.49951464632846,-417.7562693366909,-532.9334522360996,-486.12678914682084,-456.987212126957,-436.5477576813244,-456.3167243421372,-418.9503787705288,-551.1927430149879,-374.19035968842405,-352.9746754198091,-419.9059043946197,-455.2068325812719,-323.3303466255147,-482.19786069510747,-471.4963667921029,-359.10171485613563,-454.1420002859007,-367.35135299045015,-435.0085963315891,-472.80075561334706,-475.4206650524015,-555.401471506042,-363.5612462492277,-374.2441983780176,-494.8065986881977,-462.22856612565926,-498.89306369413475,-343.9051523859152,-335.9979152511598,-378.52204212550566,-547.6290256280142,-473.8158758714012,-505.7461207680713,-426.2143105539053,-591.3543320852373,-326.4728722409042,-514.2889871769008,-472.54385844115046,-462.30570132260294,-456.0220182080617,-426.24101343376356,-385.7337447093758
5,-611.9872645506989,-603.5175439652254,-517.1510225411837,-554.6692317561118,-645.6273772226062,-356.3060879510311,-489.3457381113074,-592.4126766943609,-393.742974119788,-469.8778869933468,-629.0710214210729,-501.50887177841486,-457.45911537981436,-340.25304855737875,-460.12701408058206,-403.5442459643003,-410.12189411737864,-385.1117816178199,-475.32187802169665,-370.023981229554,-489.1822812398642,-392.4379914157495,-328.54554497848704,-277.900610043014,-442.82607264116183,-341.99305924543944,-444.5283217006938,-354.8391530711739,-456.7293249095382,-560.2006425107063,-437.051534305424,-495.3760539592586,-480.44184081149217,-343.63637514769783,-476.89284003255625,-323.5818426360495,-423.7955904467002,-424.5950471937057,-369.97942927882417,-444.6279961855829,-548.2321318430692,-477.5280489774026,-312.83124911523004,-433.9112736898863,-374.1158902607102,-441.57051882382245,-375.4531829271937,-470.62750345838856,-320.2039925962451,-351.585573902998,-509.23843942784754,-525.7887421085787,-517.5138602604773,-493.43221541363414,-318.0058243483253,-647.5331680662778,-452.9817283231882,-448.0807563881896,-407.96488790074466,-421.71672213079034,-203.90429373643752,-480.55708651174615,-213.74997385222525,-486.3406147885634,-480.44650491807215,-393.73002009304304,-430.73970197952264,-415.34955467865376,-344.9891695754485,-337.7245013120173,-507.5818030998916,-414.33880247434536,-466.9975414267128,-478.4732148579578,-441.80241039921253,-454.97526929293264,-323.4621271333827,-461.3858163849453,-335.56925183981616,-449.6792946965365,-354.06402449935615,-460.9010266220267,-488.10095327552466,-399.9814153149718,-343.22078161581123,-318.862875679365,-443.47510085370754,-399.03195368071687,-308.3203680674237,-326.7219628640736,-447.1725521030171,-570.1824519780229,-371.2319724769251,-458.99749004961757,-533.120961978707,-417.7314882875116,-379.604384458653,-344.45876961868,-449.6978296068061,-418.61891225322455
6,-609.676561259989,-680.9480957265562,-606.5179394556516,-808.1171717938478,-541.4437946951564,-695.1366173325389,-582.2706819841584,-539.7298158113073,-486.97004893385014,-508.6803052224436,-515.1931357532065,-377.78725118821,-506.4601405139188,-592.807150721726,-463.31824014231387,-565.6078833732166,-402.53630948614165,-399.92234934941,-347.47787886282714,-466.1921977755196,-467.88907980898057,-439.2401758269026,-215.47374780511592,-493.7765678360109,-291.619630758808,-390.97920674660605,-380.70919550211175,-524.4453074961423,-448.2296186410376,-358.8827128234623,-409.0988969029884,-299.65816164236776,-343.6993392880366,-371.9319994609509,-404.66430002378183,-327.0367245429352,-414.19630970580596,-246.81510299782835,-345.72544334373913,-475.75768768389554,-402.16094291953556,-298.8264143864922,-469.36319677141375,-404.9440620191898,-438.22716336528873,-459.05601399859773,-421.1578387413528,-544.2420632747179,-328.2382310625315,-494.0920796331374,-395.78080771031483,-355.19225234866275,-402.69449310410494,-403.9286447384064,-437.84535103687193,-467.10903247787087,-420.52245698634744,-446.9132603020515,-554.6692215342674,-348.3303368942433,-452.7219729969862,-533.5059524357732,-459.54477732966603,-314.38045334277314,-455.46280373255433,-417.4864914863764,-241.14490082455976,-265.58116981999945,-375.2058559176514,-474.9665337344324,-346.00315775095714,-548.829999620364,-449.0251597009934,-319.5262190599545,-490.73388681686015,-316.95580415322013,-550.1790679516961,-413.00363238452087,-324.71074508196415,-447.3934655630625,-559.1668193371983,-421.6841115119511,-416.3304422953295,-429.78580518244206,-446.48693450082465,-364.7192248451653,-490.88542663894845,-326.54456949366676,-516.7976652355574,-423.4233759530165,-397.3449274355254,-463.236386469408,-553.1030466200049,-326.64673782595224,-512.3339106627066,-373.99059160947763,-329.27833276842995,-401.2180115063578,-442.6777901800803,-324.0138667641883
7,-542.0100079037859,-466.49095680471345,-732.7563755308544,-476.19157099243034,-442.48063845808514,-527.9352179076649,-569.9672182755279,-443.3425827751564,-695.344099769285,-485.6363272134349,-583.5253235695014,-332.2959847800001,-398.7208356736827,-381.94869830162236,-348.91779700343864,-561.7835880114761,-352.8709953483468,-372.21367546755823,-456.4737130347994,-304.4480318547911,-450.9317376539974,-387.44841867009274,-353.9472476548578,-417.4320163715837,-494.65625868501445,-418.84612534085164,-443.1241993463828,-315.65734502521843,-571.8749138081573,-461.4236838987282,-388.8516116542119,-483.9379370234199,-464.1280207446388,-439.4093866901308,-529.4480848738384,-449.99364316580716,-530.6934896546567,-540.675536155389,-485.0597544788731,-463.32504174885486,-358.33285043322087,-389.57880400398875,-515.3197137025093,-429.8125148395071,-319.06404412529287,-497.6035846099999,-429.55121562930987,-528.5070948815855,-469.03989913274285,-604.7044240659515,-387.8565465287459,-435.5441454774736,-445.63028496370725,-345.89710757721167,-406.381819235004,-456.8195408988567,-545.2800330216493,-367.7459896455368,-352.8805407208476,-453.0446774210066,-468.3923664822446,-405.44921105722824,-544.4607283582674,-495.82630659249367,-497.8600907869944,-440.71279693914596,-508.603807142636,-179.99684394893146,-212.28856487670902,-511.1739479538198,-474.76527551595905,-312.0486212027223,-456.19545385551123,-290.18507594596883,-282.3063024019688,-371.55992509180317,-473.3122690259471,-331.758826779213,-579.3959308169153,-411.3170614780367,-340.3644303569461,-434.40345550883427,-577.3567557691354,-319.11856902920994,-536.8288210746576,-375.6045402234057,-263.7844787843809,-447.87597203940015,-491.87884851620095,-399.56407231854473,-483.411035115572,-391.0664349803911,-542.7698754249801,-458.0922204263704,-481.98959355569036,-442.1238850006537,-444.04607477250255,-407.9058353544071,-340.48317257758777,-499.3457583730867
8,-580.4195149878674,-703.5010337729051,-681.1138544456579,-358.5587761300866,-452.0883537664541,-510.13792856050236,-549.4772222725262,-495.1583384611968,-435.8833245312353,-752.3189639963322,-423.9105139818136,-519.6674361734119,-455.20613556935893,-439.817042678857,-476.30485018230314,-634.3983645236523,-239.44795345335748,-404.56207008281393,-478.86973345493493,-359.7629794854878,-425.7858252888811,-422.7265202793176,-359.5001704822044,-500.72517852579523,-360.7179543893639,-360.9864568246577,-434.7615961715568,-382.11763583674013,-509.31777584236164,-309.91552241183615,-477.43047078102285,-459.95021122203394,-258.39451955687565,-394.5444920686631,-422.3223672952356,-454.5820145353569,-336.53013129164736,-462.21956702103904,-313.0134255854943,-199.82655544771256,-453.6723779142904,-390.60751951119227,-446.49177672172056,-442.914035854437,-322.6777177455605,-336.17081381985713,-468.7593039044406,-497.46469861426993,-477.4073721598971,-409.6843200477961,-359.2281229761423,-463.17305281228244,-427.68683828520153,-316.4446368357552,-500.2591459516439,-403.64813945813574,-519.5456170408067,-410.47325661702854,-460.34455647659075,-480.5596874590792,-420.64692240397443,-439.32695027583895,-445.29518087070466,-394.24220982251865,-478.5489945416162,-471.77744696517965,-342.69601646969,-411.84899496506256,-450.4700674439385,-497.40222103925004,-544.3050398886302,-526.933723383975,-418.9414449031342,-391.41820168225087,-466.79497334784196,-456.0763633785498,-382.60515016887445,-331.8662954299267,-312.5417889582363,-385.84878215929234,-403.46810200283227,-324.6427091633815,-516.0323059895452,-462.46653694120926,-322.74876740257645,-450.7589153120444,-465.9571084871799,-474.92635959127614,-400.5140530140111,-311.66742742390403,-440.09548275789183,-524.8957274678277,-517.2852080761986,-482.2711230887743,-465.02141470295317,-297.82271921610516,-453.43702420058804,-435.291736292106,-427.76834725298613,-376.219715918736
9,-596.8920991921287,-626.8623884987874,-645.7510542883749,-568.9082218160675,-605.4275990664391,-352.05191969256265,-570.2714255875248,-429.6447960365663,-553.2801558195857,-769.7202381026041,-405.2953497322885,-539.8330566110502,-538.7738875615092,-494.2445928676764,-436.9178601142842,-552.0886976109871,-381.81064368685213,-361.2803969485513,-325.98290550741245,-331.8029611643938,-486.3508265297458,-481.14544520678004,-441.14531439272173,-371.7074785864498,-467.7059258715984,-365.2366894600261,-424.17284793886347,-351.04166849963167,-520.5731008763674,-415.5111817936832,-448.1569647848251,-476.8212507717083,-512.3071456566372,-442.80183728964676,-334.57631922002565,-441.3921931018909,-328.59247049324557,-417.58063851165156,-387.8792454362973,-444.22240414777406,-514.6012566814344,-321.4182751431143,-352.8189895805698,-404.9531448241993,-481.62412243219376,-333.7505884607485,-435.6853344861027,-454.22085682965206,-469.420887342782,-422.497385872767,-338.5106952443567,-460.6566384676468,-442.381483583834,-481.685849933957,-438.0111642832111,-434.79399855337823,-460.4604502513609,-400.31459598262217,-480.12495893217726,-322.76610824331885,-322.7616417888206,-434.0090942478293,-332.7241061968192,-471.8968850670457,-435.06849459530287,-502.0850148480764,-475.03399600715375,-466.53914163174557,-358.88004335075016,-383.2222339723772,-411.1105095797229,-166.28501958757627,-461.2817339642076,-387.6458287677868,-400.30504715488553,-317.87570235990887,-426.85479581401427,-391.54290399046283,-423.6717837898315,-331.7966265186436,-381.9608874001433,-363.8672966171853,-524.8723576359366,-377.1560912506301,-488.64947656557024,-257.8440301266053,-556.3670271230997,-319.8237841306708,-407.5883701368689,-469.36135181415403,-469.9048723796899,-428.5321307523359,-632.6168138488518,-444.340807343372,-479.2945006463626,-345.993705661869,-484.3136922934727,-443.38335279753386,-317.774114359792,-456.4343423268246
