,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-1930.1273584864286,-1801.4048731686216,-1784.703653357293,-1388.1890874431044,-1433.1586123051143,-1179.2669251982777,-1296.930415049419,-1186.6866240311185,-1032.5220703379825,-1105.558260434228,-1216.8981600570066,-837.6170307784212,-617.4717235335596,-661.0645354339943,-577.2891583367553,-472.9453108003606,-469.81172902141714,-427.45180194634264,-364.24710820334644,-331.6153991120535,-291.043929750132,-315.99336769038547,-286.3269043588151,-266.76626748717905,-267.20325486158885,-272.2935315980599,-312.92398317019473,-229.22229142104823,-255.79713591008982,-303.81510618711457,-276.132795104741,-258.6402550486455,-270.2558126913249,-298.76043385900385,-262.6190482920132,-286.4978122268546,-290.3466874867119,-255.2414290024684,-261.72740432842096,-293.9946743397424,-302.3163825435588,-279.24147172302963,-280.36062414613906,-270.3281902303434,-268.76044572887105,-321.5897331454776,-264.8768954962467,-286.6985276686436,-287.2848272403136,-333.1480896896446,-285.0396904298612,-330.9323867165672,-291.88014312498063,-381.66393762544817,-385.9492558202053,-261.98652408174576,-386.5718550461018,-287.8410742807552,-375.05869370947346,-323.36767241470056,-269.0227004967894,-308.8397629755661,-303.626337502722,-278.6681246357543,-305.5812744591069,-311.11429675682314,-296.01574713956984,-302.7189243908208,-328.3936936169659,-304.12802252296177,-316.6575530141555,-322.4384774143115,-388.19365796061567,-309.41783559808874,-348.53321510432284,-333.78711551192083,-355.684571060739,-325.35325711614,-345.83148406658364,-350.54620244919175,-301.6581354126425,-325.6993706825652,-343.8334482579927,-305.4434886127874,-324.50093416886995,-339.7735170271417,-302.27358589352525,-298.5955907058114,-327.58701399500467,-345.0726216763021,-279.15702700746624,-311.90940606764303,-288.3557269368893,-298.4540030333372,-307.4268801131157,-315.3437368624749,-281.9698489827007,-280.9755017059401,-294.15660799303174,-299.31032711529963
1,-1699.687730942093,-1494.0950992805206,-1433.5093506470917,-1617.2729994567635,-1417.3747139791194,-1189.9380398553744,-1298.264577556125,-1290.071499605719,-1036.2134420495588,-1020.1824418897619,-906.4211122676533,-674.5250714497607,-698.5638561849263,-472.9872785743019,-500.65943620336327,-460.0178553454245,-435.4562256263131,-449.88205591645135,-321.09187805168415,-402.08365117309506,-368.81438364523325,-302.05809575671196,-574.0516640823834,-610.4794796384605,-353.59411455002044,-321.642018541662,-294.7809801984217,-318.0962959296223,-284.2111312421049,-285.962714197529,-301.5462780239007,-327.0576153932719,-281.68124849201615,-301.01894369756184,-298.4287558047007,-291.25820263602515,-291.11983854656967,-291.08030595290296,-293.7898789361166,-271.9553389249792,-273.0843960379649,-262.2280471648112,-270.1928363755607,-251.32219231612675,-270.62770269767054,-251.6247122377015,-265.8780825459991,-263.5923047880434,-284.9619424185886,-264.9227662599785,-276.60390014021596,-280.0327014761787,-287.88434141619643,-283.69715080777917,-290.57483960718343,-271.45601484536746,-285.12122547730405,-278.73584484846253,-301.05076703172176,-276.95210135363584,-278.91835447166665,-294.0307329488603,-293.21747632261514,-310.47719132370065,-273.25679582145295,-292.71101261314493,-295.3308583077289,-314.0963454866067,-309.38554195790294,-293.3895373204077,-291.44964534351624,-292.86875352861574,-301.0848070920404,-289.173768002663,-299.96178872100967,-278.0962345434624,-278.3879083516446,-301.8744734397803,-317.6389824979466,-301.0506248951971,-290.5496554999511,-277.4664742762648,-290.33916750254525,-305.3167365589971,-295.6600201639493,-303.77790087803834,-295.02771451173527,-300.1770912214503,-301.51716878270264,-278.63862299129556,-302.2814162268189,-274.6222789247816,-301.40520327301687,-307.41287856806923,-305.94792506070195,-300.4653852784982,-308.8870812816279,-295.50772892838825,-293.5121774659628,-277.9876389375832
2,-1992.7484061213856,-1537.9070375603249,-2084.9799327783426,-2046.853427793481,-1522.6735005131063,-1535.7232578028807,-1007.1853458008225,-1078.9240655505425,-1019.1679214997866,-980.6500309815798,-868.1618504972786,-858.4646944509451,-863.0641758657387,-1301.649615778901,-564.9093796330056,-557.3807286844606,-620.4421231785134,-713.6764192925438,-730.8491393016021,-692.5735959492738,-474.03460213471055,-607.4643509973062,-647.9649886046882,-653.9300653693166,-326.817289254207,-320.95507024741744,-308.46937968572166,-360.0171448868796,-304.0655482202323,-304.0833228989241,-308.6157175259007,-355.98175252770096,-326.67601581604526,-305.8172170803187,-287.08342686751786,-323.04046734346866,-352.55479292941425,-309.6658984909869,-346.1582179979796,-373.13530309789996,-363.856413880206,-304.4281263695406,-298.3472427521486,-299.34066130458586,-346.6613398214657,-289.5409716737256,-286.73789578002015,-331.6814328793354,-293.74377505180297,-292.5661710363752,-321.6602405734853,-309.6056605792232,-295.35524648176664,-294.96974164306323,-346.1947473486256,-292.1083478275248,-331.26284682705176,-361.56245279649784,-310.4999505022772,-308.50718805271015,-339.2265139139914,-311.26861995708117,-317.71892524470854,-302.44374819766574,-281.50967679539536,-312.57016893652855,-302.7687257407489,-303.60324555718995,-286.58647672727705,-318.49849429338553,-286.1743995447468,-294.67806534529285,-288.9102505626744,-293.5843416600073,-304.6896065230159,-326.8409462119764,-290.2958676887044,-270.31135768261765,-255.71759723551693,-288.3292524120359,-301.0003748722893,-279.2625942731484,-274.9311968076648,-272.3143705706395,-282.99970219642194,-269.18719842438526,-281.69190148777386,-281.0591414130759,-274.36436451521513,-266.24689033599196,-274.24135389465204,-269.3022894535418,-277.54375989169466,-298.3444975662224,-305.2121800195141,-285.7695874339093,-270.4132031893862,-272.24894214466866,-265.98152705922524,-298.4307014697201
3,-2212.0618320961016,-1681.0440825372286,-1847.0183639152312,-1667.9279318019398,-1271.3287064757837,-1212.9157615517631,-1060.2628811493232,-1063.4293023824978,-834.2910007170439,-1187.2228710700647,-1047.100444987672,-598.968847025751,-889.3027951891324,-1207.7484906433967,-700.2000279471767,-634.7729895302731,-613.4627391521813,-414.4428485457967,-386.59918560067905,-348.3178493951871,-283.1700118899984,-278.6522505021754,-293.21530189904627,-291.40506630360926,-320.44214162642976,-261.4160436789769,-266.427446359761,-333.7271346645378,-287.59140112863406,-281.5632993900308,-284.29681828060944,-309.0577042693321,-295.3189162754444,-322.5080658159985,-316.27594749151484,-302.26397449082833,-277.14622517298176,-276.2543371544684,-280.7304525895077,-285.0435969498528,-294.62824349340565,-305.79506384233554,-284.1219936035097,-291.99199305338567,-298.0573330822771,-309.27798890768054,-319.64416083197125,-306.26247589771737,-292.7681092826735,-295.8631687533496,-297.55333823440674,-291.50637982083964,-294.1571250236477,-317.7677785975047,-293.3654149133076,-285.33212224267726,-318.3740424973444,-294.46522838553943,-293.8916048137934,-309.59242072716137,-310.5375032051526,-278.22186706924293,-294.4333134275472,-279.9484050378567,-283.2569029101761,-315.4961912270613,-278.7232310909984,-291.66759944477377,-302.3532149789358,-314.84101075477616,-302.3616599621996,-290.1860882062475,-288.4410719729674,-289.72986782558473,-321.16933060984144,-305.22981844293986,-306.67476178824916,-271.48982703643907,-265.18685257202105,-263.8153306989236,-290.6765972903633,-295.5624218150808,-266.92379600736416,-278.38629250670937,-272.91430036105317,-301.5793706733992,-282.9411612660618,-308.2866553501681,-319.12334767106336,-283.6651348498791,-275.16112413106356,-286.9776476462984,-286.8639613602295,-293.3121872409201,-295.7651324673705,-311.97875114772773,-299.2804914237774,-292.0759864859678,-284.01259905758536,-303.52439864811737
4,-2017.0422334180498,-1642.5795130610984,-1393.986708035433,-1363.6120344275312,-1135.7341737557265,-1245.4983997642678,-866.075423169211,-844.2883277977477,-895.976139177456,-779.5910766269513,-891.0996586364686,-860.8093661450484,-774.4065670032702,-836.6635470273945,-435.8397378449901,-441.35759002430416,-444.8973839259296,-405.83308515946675,-359.33446757449553,-381.54376698057473,-388.31088284831225,-347.62873641259307,-318.71924573896274,-322.5866470468203,-328.84171050239087,-289.28621468858904,-317.70641639749795,-285.2213870126007,-332.23755135927775,-295.02690173025997,-291.80057113257493,-335.2990841160674,-332.5601297279476,-332.69422020513827,-382.41102984224614,-651.7661460878314,-721.4116048808886,-394.80835910248084,-410.6522928810597,-456.52321089586576,-345.6085874996892,-276.95520436193306,-273.1325201398991,-282.2347928021908,-278.2334939648223,-250.21288033803398,-273.2921996410889,-272.0924813899537,-244.43182162759277,-264.31045331294064,-255.76855539602943,-265.91918498673476,-266.52046538369785,-247.24668062713258,-267.85036105783405,-253.0242489584225,-254.333813532932,-270.49593599877784,-272.25508378414406,-267.994033748787,-257.06918650128557,-243.54496667255873,-246.46547940036498,-253.83048351725589,-238.51725319277247,-315.49430871870635,-249.13384475338458,-265.66204562885605,-250.08728351139288,-268.2804013559891,-265.58170851577813,-298.4001318656269,-261.3697510588229,-245.65673904296958,-258.1703273972625,-266.1893025875593,-262.976816230701,-265.9625266036389,-262.0385334785586,-278.23995809202313,-246.71396001941432,-254.0301251223779,-257.29008419631987,-283.3403921489126,-262.34693756269803,-245.15659965954123,-262.66801400278734,-249.91539336970166,-248.9196502670551,-261.1398717359453,-258.92447333131724,-262.8179080518492,-276.07539278752245,-259.2278730084735,-281.4577343841117,-271.27090718267493,-275.9576457034757,-275.36813422639136,-261.751742707714,-274.06567898713666
5,-1925.6792070894944,-2425.6946264021017,-2365.901063494013,-1733.8075042302717,-1710.2672790889626,-1703.9089616319327,-1728.731623473592,-1767.6467033702104,-1347.971567251761,-1297.3849246034315,-1333.0042369338037,-1249.0378609628324,-1181.4683117127138,-800.0350649043604,-634.9753585865516,-598.9020208807842,-565.2239970509534,-517.4099743956203,-547.5145169069232,-428.50516819434233,-486.00338147636523,-473.1102576458623,-492.01311041018147,-472.37882177533527,-431.7916392229564,-394.1168338497954,-420.8053566265261,-377.00328867484967,-356.49207902352885,-394.75093531484123,-327.99134815067885,-303.0754058934417,-342.0909336034223,-298.22478993829276,-306.68107451079186,-292.77153545901024,-287.86408053812085,-291.7654496914294,-285.2770847346039,-283.6717157008696,-272.0884054616656,-309.7739623205769,-286.8225609189586,-281.35451677673933,-290.4294647888366,-304.27720747409256,-270.8533467316561,-296.89814134902576,-282.2467133482592,-305.3659942765232,-270.0143607257982,-313.60163386316947,-284.63535896396996,-293.87652586081396,-288.8273583628033,-324.95066590754647,-314.477487276511,-306.9741144740958,-309.93227379566935,-243.77657812341002,-318.27335077412994,-311.67621548364957,-365.18638580760563,-299.5243255391296,-280.01970810274236,-269.6599711870707,-306.5529827365422,-280.4375505556892,-275.95990234238775,-277.46840428647545,-342.36876630480367,-282.7311025868741,-272.0635690442418,-279.44915075595037,-276.6736300878228,-314.4722617714118,-288.83845154015074,-296.30558346509474,-285.43909454646933,-292.00114099138585,-309.14183448444464,-266.68014256588367,-292.70823297134973,-311.55016949460025,-294.3749463665894,-328.19949735704796,-278.8470647551857,-313.9670540971626,-308.03363785656455,-285.48214351609005,-271.6308776633056,-285.550077917062,-298.13260352823863,-286.02121030347064,-306.12071983259676,-283.651750099515,-283.77438028122896,-369.1649927509893,-506.2959885970332,-351.9340789016662
6,-1699.80857362281,-1506.134861069332,-1748.7740797906408,-1198.78757149457,-1257.9672389577645,-1376.620338987485,-1696.3449324356748,-1752.8094141890435,-1125.8791756501298,-1318.177387988324,-843.7983941749962,-494.05539090387384,-433.1882322845794,-340.3424981421363,-387.9328223612272,-362.38410078214713,-306.95510984952494,-307.08532338961317,-306.19403429404264,-305.5547703047995,-318.1273600110119,-316.1259551206675,-310.4848664784261,-330.7221324892822,-304.2148106083124,-300.05426301263856,-338.8613455894508,-320.39148256003443,-331.0600130862372,-371.5812011424022,-340.76702850732914,-320.68813043900496,-314.86214657944265,-323.10517772307503,-287.2913569147312,-283.14271097514154,-283.01829786151444,-286.30740335631396,-284.72956895825484,-277.76664410869876,-302.6778791299584,-312.5909853415577,-287.04356272997484,-301.0628989286842,-281.4234847172852,-283.17385892063066,-291.3430581201386,-287.46526878892627,-288.60301671088115,-300.11031470490167,-299.3180514492524,-283.3045197196781,-291.34338162027046,-290.6968993133323,-284.8110557727669,-293.03957704831845,-309.3886592194125,-263.285476133974,-275.4356928961092,-286.22199922880856,-283.697240702796,-270.3729553065828,-281.6651390434528,-310.06295886325796,-285.13542848564987,-272.21072530296914,-282.1453400705124,-284.60832226975253,-253.1105675895259,-269.46894569456373,-288.5363389792642,-278.132628628023,-288.7391272946894,-298.1234080241526,-279.532666614075,-303.8173507529255,-281.1940606167824,-282.9878056947682,-278.35813429709674,-264.01639124408933,-271.56101159274533,-286.0161083922323,-275.3239265578178,-282.32001026415315,-312.24709927737933,-270.8061858667535,-290.7095291915781,-289.58007635712386,-303.6517848456103,-287.596379997662,-302.659637559658,-280.39363372046057,-286.13958640919725,-295.65657320577844,-266.0386307849653,-305.64104161698356,-278.5348295968622,-320.729196186338,-296.93581775681275,-268.232729560688
7,-2151.8038198108866,-1860.250487769717,-1450.1223940529183,-1282.651574937098,-1641.41011387816,-1219.9906589871664,-2313.762818338838,-1595.0162973886972,-1648.421354598509,-1296.2404273825503,-1789.457136342952,-1303.7610467787379,-914.2962202895146,-795.6869529623464,-718.1757418477115,-814.6812240696908,-633.2292730530628,-718.8020844741714,-399.0270217990738,-724.14194354594,-619.607654092043,-547.0341421378857,-452.8219424122972,-466.49082922371696,-578.1023253855997,-752.607590396278,-550.0252167121373,-475.31899525409443,-421.1513042868894,-487.9538585682251,-465.8211536283312,-343.44869087011904,-340.86341645292447,-395.2990144981468,-333.42287712845473,-338.82721824189696,-357.6965849847458,-367.98069200467575,-346.9318648957891,-332.6205337892225,-437.1842586404696,-328.16647013577244,-387.91462002808186,-356.5749982925759,-355.92393169249834,-316.10105459316725,-305.763382863087,-276.6417675643872,-314.2236609252263,-315.93602764388487,-279.62640468183446,-342.56949290145354,-355.56635507263735,-324.07658084383223,-332.6138534853457,-317.83561727536403,-331.3052076899749,-296.76222795809764,-314.37159106157304,-304.9569698459819,-353.5025628252452,-316.506733527107,-308.59535577729145,-341.80915047516197,-292.4178807515245,-286.34532683135046,-267.95236194330096,-291.9829846215382,-282.79047451527356,-355.9022600214445,-310.23170743376664,-316.89586104832597,-296.2185673922089,-382.4084337504861,-291.7156709582267,-321.4699474784093,-267.0853239783704,-290.90406419299404,-317.81820086339036,-332.0017586571934,-259.22107259844614,-287.862504890233,-263.8004685140639,-303.08923165571326,-302.09215630649163,-267.8390487480037,-277.19493955611944,-292.1952058605349,-287.1225546578644,-266.8599630706223,-272.5766246811985,-272.23824036272794,-289.8817662220548,-270.45588465506546,-297.3487495132409,-276.5638389719045,-302.48130077695043,-252.31712618742586,-288.1843459153122,-262.8321835290033
8,-1716.0235156576732,-1819.8530211933457,-2082.646447544064,-1678.3120240145745,-1987.2991617153339,-1890.8587735725503,-2384.8722524802,-1687.4094864569088,-1081.9973062776633,-914.1129835446359,-966.2599307272856,-883.6986906003115,-1059.3084479443485,-851.8168684744375,-658.6063758026536,-686.2521656799139,-424.11660672244153,-532.3969518239746,-478.57011546767126,-419.62940158073604,-398.2737295873121,-395.8230552608125,-358.8923283014537,-430.2221923557121,-366.1333182328445,-410.38886373298317,-318.39556347226164,-321.8176820994065,-315.15637383944454,-296.96290012421815,-281.117357194141,-328.86489394824645,-325.3738705121102,-272.1448549760495,-292.1268675992033,-369.8334757160641,-307.0107918139029,-270.1014305740238,-279.08574786922287,-306.3247155733218,-290.42770056450973,-370.51403556287227,-349.3480912663725,-351.6726893088774,-322.82637866232756,-423.6063774605308,-423.1641626332188,-475.56689522150594,-557.100352242214,-477.00153400999267,-758.4432367816809,-493.6375213093696,-477.9903493855289,-502.0010482466255,-502.52367758546126,-471.8255967651284,-465.8631846068359,-438.7112532198075,-451.9532759569041,-457.8435207775008,-473.9766302117949,-459.7584939377629,-406.76353994889575,-458.0935175535846,-447.8193016701675,-455.81804942304746,-421.03830461649187,-369.3192803980031,-361.4962107140926,-364.36193699307,-328.0028266380585,-415.3665726164192,-353.48206074887264,-332.2351046638546,-327.07835284096535,-312.65619743052355,-301.27730705592256,-333.3275092359741,-354.68583014860263,-327.7952314601252,-337.51776065871695,-366.53043651879483,-359.244474962408,-337.0578513186903,-333.82321857099896,-346.9129542103042,-276.2836713347936,-334.4660417307786,-292.6330554141931,-297.41317575795654,-278.58880671907264,-297.11213558100934,-294.53651770811456,-313.02589088694134,-289.6186585400444,-318.6659806771934,-315.2594343175269,-346.3960862606058,-346.46650921179815,-335.2706119703255
9,-1697.9398836039288,-1404.0153005042966,-1306.804105997085,-1153.066701906578,-1044.308847541608,-1157.4098398930046,-1050.0748431936854,-1193.0671581743895,-736.0536120859086,-662.7050448729893,-821.6800564330968,-475.67697354758667,-883.5893425194721,-488.07233981943585,-541.4481648500415,-564.4385051379048,-594.1517561985657,-516.3527598258728,-340.06126912008403,-358.92994027626276,-349.6728035546007,-337.360912088723,-311.76713196249585,-272.6092156455804,-330.69653867397744,-274.3013076748358,-290.9870093548435,-287.06531542062055,-305.8754748319012,-337.817307112395,-282.78120511223625,-285.1792148192115,-344.1738897859245,-307.0083816955177,-288.82301970281543,-296.7066045547365,-271.47182818389575,-262.9513963977885,-266.180937801325,-249.87673472387172,-265.7732775840849,-255.37646259442684,-280.2668986955452,-265.6794979843774,-273.56771610355247,-275.05988394805246,-267.0314254861418,-268.33111080575003,-271.09950973205315,-251.4983842541917,-274.60454275247366,-265.75145168064716,-292.8904461686031,-266.3697827685541,-260.87173627719807,-271.5249671746473,-272.2501608188115,-262.43358725012314,-279.9831331247001,-267.03642229954886,-270.8760764309126,-264.6397431368776,-278.5027077067238,-279.17436836479294,-260.0236573564678,-278.8938985693537,-267.33315735049564,-259.0556577998229,-255.64940987382184,-274.7780056510822,-253.3886349180544,-256.6902651600459,-266.2159941257647,-253.00824485375827,-286.095592431138,-264.41211579013066,-252.9712107806346,-270.2537513265522,-245.2969873052152,-260.31430201714846,-281.7571653803603,-255.02531200382023,-245.85816383930845,-257.09835057086946,-264.01910841165693,-256.17509495942284,-275.38008895242723,-256.44638591982795,-256.6322441993165,-270.22959830313476,-276.73383809394716,-268.3257257079488,-266.59073528316884,-273.65717221473716,-275.85707975153497,-272.5990381357386,-267.331456010164,-265.64204510671334,-276.0263536249988,-283.005831391967
