,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-739.7613604446037,-367.3042646312073,-517.6019849884007,-442.0840631226556,-398.48102506007126,-413.58517068851654,-655.6834217976094,-492.2844504384742,-771.4892876294168,-476.63596750101226,-342.3941655367844,-541.5369457508028,-317.52165906675486,-453.59362487720875,-402.61305517010504,-448.2516647719094,-423.52195273608703,-363.46900283576787,-402.55985386842633,-389.82835642658165,-284.44883536044495,-477.8914873071752,-350.076278644338,-380.73350941664955,-339.4524798189576,-444.13870208926596,-356.6330844010215,-329.44333744889735,-392.80542646944997,-409.08535997162113,-479.80042267080904,-352.78987215070185,-360.51285400779176,-417.20722914613253,-384.57186976991613,-455.8755646196345,-424.7963514627462,-438.9981735299489,-467.7318245437813,-428.4738143351178,-375.70554539414513,-450.9998546683571,-353.66775652745457,-431.599366973863,-514.389277109527,-277.29386607729555,-453.25897290975365,-345.993213123129,-389.0444754903573,-426.3384798416889,-270.0681604110002,-338.437829557406,-350.1256265625035,-329.31234700821335,-418.8217433908242,-418.0513816140371,-428.15104841108035,-483.4071211005151,-320.9999983799279,-479.5774405115542,-318.65405355112364,-386.7790240358658,-470.07811110453076,-407.2957251039602,-316.61943427343544,-332.0080099180508,-464.4174833632262,-579.5783075425132,-393.3196127239814,-409.4758329881891,-454.0533626754907,-358.4388138991402,-315.0822159004875,-447.83042859986324,-437.982812127366,-381.18189081285374,-319.7277764797546,-420.40275196271006,-436.23668219770724,-361.9543362966627,-449.04224768610715,-369.81190287987425,-326.87301498521003,-365.9723996249649,-542.0453273259773,-259.6403520077974,-376.5481305905795,-403.523924133012,-454.92427180264326,-525.9420632892445,-419.90682178042255,-464.71877688601256,-458.2043350484319,-476.13410276061984,-509.06773850981796,-404.71176048361116,-323.7555914560046,-266.79954210154654,-385.7960501592656,-413.9597457275935
1,-639.880259989635,-512.2693058792389,-549.7061055617761,-637.5486567935906,-555.2087599106522,-395.45400966587704,-374.55790788854296,-568.3695153392366,-637.6925700512168,-605.7372247429388,-249.15005730490566,-600.5250137129175,-573.889903053854,-420.5625623498667,-510.93583080592407,-313.1810409228353,-371.488115566303,-341.3210494084537,-513.8278007141635,-353.8402496146815,-473.03996228614494,-301.53705212581525,-387.9493248489205,-421.65478146984725,-425.6482573219808,-464.58024877456853,-427.33054673762666,-531.4808070623225,-341.5419293438754,-343.2695610322476,-420.03749579345936,-433.0115726703459,-350.0638073295983,-448.45655008195035,-566.7860133886794,-366.6639319874323,-470.749968025294,-335.74611495358846,-363.7287563655183,-435.21845368538453,-318.8898049583624,-393.7521890442347,-461.0233269008176,-490.768513481782,-472.8186853220949,-610.1390100483294,-516.7993875918686,-441.2448066833834,-487.9872594754706,-350.6851136437738,-512.4398628739164,-375.6083660469861,-229.4239488437665,-433.6816903193073,-506.1873531203381,-524.9923776856904,-390.9261587589743,-406.348501247901,-433.54271591900664,-290.4832764266691,-334.1475367636159,-328.3249614375949,-372.4759786616263,-243.07704856796505,-561.9357919128088,-514.4899446427902,-442.50810869945747,-364.9483500141286,-530.5575735012836,-372.386485029432,-402.45931555142874,-441.5163519746293,-343.05016843038993,-485.6975673812093,-449.2885975304689,-395.35368005962863,-360.16165011697063,-575.9251708444503,-573.1843333316021,-421.10926535909493,-511.70350924195947,-471.2267586475922,-389.1632270850846,-314.81320304794906,-372.03345284834927,-365.2932952570764,-349.2006849285788,-203.67887804823556,-466.43897824132335,-306.41346052192233,-536.7620301727744,-497.90375694607076,-327.95475770807377,-453.7043658077342,-522.1241749664697,-327.02124336297845,-258.82857933747704,-194.26594256641147,-323.3629542302177,-463.54495045050396
2,-596.5144888107337,-519.4356521438502,-647.1007098290648,-805.9819058142009,-710.2197830032143,-457.37568998237066,-666.4420573235193,-460.33876105920774,-434.6846224977736,-545.1179111481599,-434.41726910552313,-544.3151298172321,-466.2164350098833,-391.9402484645455,-277.3377504208682,-473.56952973548965,-426.84447829265815,-385.4285788205121,-506.65785645419277,-322.22929926237913,-376.63315458369016,-433.30383521711383,-441.1717409878654,-310.198759048914,-297.6026295194926,-415.8286582039547,-333.42214663523885,-459.391375766354,-489.2968651514086,-445.29058745422134,-456.72370806151866,-385.24436603159916,-545.3547505977224,-409.0453124371616,-296.8878902357973,-401.6350545113303,-484.0563989690082,-445.1975018818521,-492.8757708410121,-422.048786370985,-632.4019823977986,-380.67595220932765,-666.9920432943537,-387.93498463020467,-343.2502175716108,-344.0639403250509,-349.8228609056335,-376.1276767879369,-457.3655284502227,-334.50444189660067,-422.09388420907663,-426.9646410852016,-436.57691774068195,-465.47714146125065,-328.6580011504499,-462.74263893445857,-477.8383384042062,-467.2264844707408,-394.07731214018645,-474.06847965253087,-431.71183942427064,-336.8925876721058,-357.4517535895827,-552.1782240373913,-550.5510573786479,-333.73481626222826,-304.7689277885202,-402.39855770398674,-329.4061448296021,-454.6390893806807,-470.8736909480088,-349.5329254107525,-456.2474833727927,-452.06287256721004,-495.79011988353045,-513.4506314478717,-687.3950090685423,-524.6304016269368,-418.3735334304431,-570.2420524040218,-377.28500791537135,-619.3952994829505,-633.2922080778441,-530.6477562165561,-482.16426564728374,-477.8965049344245,-329.8070092171179,-455.8839428138985,-343.58848270238866,-429.79982565345676,-428.267493207952,-473.6876507580729,-527.8734993990048,-493.5107342958113,-625.0314386658586,-589.4476725356502,-275.203185350962,-444.36761481044573,-458.82188569278276,-510.80828645687626
3,-567.2748913618664,-761.7435163789432,-454.47127360157526,-482.7278632562783,-431.8418662198759,-609.865510586283,-668.1622864066109,-542.0526919251798,-474.5234638868919,-526.7804831560801,-604.30256182442,-369.6969842565857,-520.0128510777439,-596.1616615270214,-507.71035597463396,-366.15641114718966,-414.39466460412353,-287.7721473356213,-261.9162247890011,-328.2753762628561,-342.12553126916526,-410.6595308969401,-504.1448856592343,-371.72509462905293,-399.1330557916052,-353.66294990348473,-429.5783025395489,-337.93498338052024,-363.85281911540204,-350.72849197583184,-309.77975226070606,-369.13370362178966,-521.5334735875331,-630.1358249394058,-444.1510523107926,-441.71227840181854,-466.8208260364161,-445.9543676312723,-513.9096062577462,-511.109343917287,-550.1155760556154,-261.818209949335,-504.0043274256451,-533.623391758891,-315.0827004251194,-501.19268072447454,-486.0390134665016,-379.6593891503893,-440.4953376970474,-469.53580125647085,-399.01028739524793,-447.2325283139719,-428.854134789704,-426.3533608778894,-360.63769975099666,-431.95056231636744,-444.4825019916346,-559.9194594442381,-572.5410884005728,-553.2204833478683,-425.6526275710836,-463.7759645980367,-650.5141776199819,-536.6871266508691,-389.73386780487414,-502.0621671368899,-554.300160955106,-363.8465261328713,-406.5457678935894,-457.27570269902543,-377.43285681558257,-645.0070853906121,-475.3580085165666,-387.5693877870763,-465.63846021814976,-487.6897585179895,-407.85461981138445,-405.02944914621247,-487.33504238901935,-538.4594436679262,-441.8019314699739,-430.7634804807723,-365.5420355579979,-458.1086540235939,-527.9774421518347,-458.27623941253427,-381.82777928019243,-582.7796321030413,-309.4589102634496,-427.6009042478832,-410.146926466877,-430.85817031514995,-379.925196480351,-427.8927359718972,-447.8488231112983,-439.52227905012325,-465.19074551832927,-481.5210543493024,-513.3836355885328,-427.68191406115216
4,-762.6733059753019,-525.4904756191793,-742.180433867597,-687.6844254155853,-686.7248077403623,-714.5340202180458,-464.7143469846912,-549.1188177237257,-628.914852932986,-541.4820899340948,-550.5723556308595,-513.6044352356803,-463.57408325572777,-360.9095149987904,-486.98666701748044,-430.48317759326113,-331.6974532628264,-203.89462182239484,-411.0550020798085,-416.79360982097256,-406.7390709489246,-381.13808899980114,-383.257012809175,-431.6690969794125,-402.7891638411352,-472.3251727937898,-433.5002708459557,-349.94486616321797,-400.64534177150983,-343.2548828811525,-416.6063339502825,-498.85504871921125,-376.8182296661927,-454.3970924542027,-377.6407244904166,-521.2064687632115,-329.38813309436074,-433.9060358317405,-430.43169455826904,-367.27785911560846,-388.5588412779818,-454.17544532724764,-474.8635180163954,-469.52873260394733,-475.94675456285296,-424.71642554310677,-444.35235908448743,-458.5430230312021,-442.11475897514765,-352.6033085089315,-379.7051811147199,-484.46426470741784,-341.8475681945385,-434.4578598699165,-542.7703157898156,-447.7717610663664,-296.7340685786823,-435.36244966785574,-554.4104996355276,-483.92788451235003,-353.3158232752701,-469.6119291894359,-501.5578162789618,-478.2056801993022,-493.43882552849004,-371.2146664766069,-479.115122619197,-269.0197250767734,-423.22008790253193,-461.69565120522344,-324.0640729374592,-451.4454214918196,-488.93524089738895,-289.3093151961005,-383.4707600736395,-334.3320899879319,-487.1939402060478,-253.51707331121585,-495.0173117178598,-295.2103223033455,-343.4201579580383,-503.3099821578071,-403.0446583963949,-554.2153990477922,-328.58300863044997,-488.93476687661547,-554.3883491759103,-351.7262925991747,-501.06060292829443,-464.4459600578288,-339.4374313316291,-350.2312989664827,-342.1532171848262,-444.6481399699301,-501.36019162707476,-442.5395254458053,-459.08647382888955,-389.928167046345,-453.03775617866273,-507.48491107642275
5,-680.5684266725561,-645.416580045609,-609.5149512159236,-679.8895225769168,-593.225686564198,-760.5633736049558,-595.3476724368816,-663.4589641011878,-441.551295833678,-352.8756273256582,-402.5070072828374,-380.1341942512748,-467.1960344784,-283.6003768300391,-522.9710766921752,-398.5601541535074,-485.53786781770674,-434.4505674871916,-267.8781043298453,-404.7361373293907,-410.85660947614474,-421.878437232412,-374.7797396603534,-398.4747437524308,-489.08819798449633,-393.6418096406342,-304.0839785864654,-273.3712555382328,-422.12372918972636,-297.52476731935934,-315.7937929544621,-256.80040584927366,-215.11046918828978,-167.52798427867407,-272.4294645166605,-340.78612089392294,-155.5581655486423,-367.5935609784093,-328.9453929573242,-470.2606867227686,-277.036554812914,-224.84360517807715,-515.0117586417875,-370.68464327748364,-318.8428449206173,-352.3140882630795,-467.9615988068774,-461.61729630402385,-331.3251399284038,-400.7476833351468,-500.8663452271167,-362.8861477659627,-482.98236262749447,-442.1384401078814,-220.38543769616825,-346.3933755936386,-441.0674174755395,-511.3738107686712,-286.9947716093028,-302.57438281856844,-281.854587145351,-448.65793231509605,-423.36197847920255,-397.11414098640455,-518.3693222578911,-304.81376992903455,-300.1679171748773,-451.82976676169096,-376.84453383946254,-290.28130377194867,-369.8025055142105,-362.98799532321857,-389.0654324304269,-509.8235987793627,-428.7920468214845,-270.1512300166095,-378.8748277226718,-454.1813643335363,-233.27388967546838,-481.0808209599073,-196.5619082166123,-223.13863433505043,-359.7765516215864,-334.76307883055597,-292.1305783351347,-441.12770946260923,-485.35626670369396,-440.13420676508827,-469.07551373286645,-406.64112330466406,-489.8681340461124,-369.605364440848,-524.2725370642795,-540.3763385883223,-506.9076070326699,-429.4465521036664,-351.5859030724176,-293.5747307464503,-348.70314324915336,-232.24246308615685
6,-463.0517784776641,-634.0976528947257,-553.4036825381407,-490.3578191507727,-516.9768411725565,-507.01130913818474,-449.68766570682874,-305.2763170485878,-440.5018196189706,-490.2093115042945,-506.90359886617614,-647.8238637690348,-281.77472397244827,-408.411276357632,-340.96334759242893,-299.2492552608855,-377.0888356205665,-377.8381010463412,-393.2639585472522,-286.4038670397841,-336.1537136084416,-475.39492028930425,-446.18747863217067,-361.8272821988244,-369.88502895971334,-311.550814443575,-192.46688215212603,-501.1610451387206,-467.1130430471056,-366.98232945237544,-375.0260934035349,-438.68610897635693,-284.9268040121964,-423.9882674650535,-436.6318979339575,-476.24655422184617,-284.4695673035139,-343.6055135167805,-419.94964272294374,-278.2382169589806,-442.38123677208296,-435.6098861244425,-407.5966760211267,-332.9924559779183,-381.1058523011966,-418.0732929507013,-433.92057251706035,-346.94282542575314,-302.75746367693256,-264.0593781962765,-408.2905482098231,-362.8456694765437,-425.8990026294191,-435.9307718256954,-384.44368723858787,-519.1033653000566,-501.9617355778744,-298.60424618748146,-485.3880747287953,-415.6095361903588,-485.030016780305,-250.3338223979376,-502.86514450182744,-351.79696361368696,-300.40628249876124,-317.16246335613414,-466.33564519706266,-457.403496953801,-538.2716454949575,-460.8376678532031,-516.5222628240494,-291.3629213685435,-496.45488082377733,-482.2115970720046,-530.3664345394182,-341.2839555738221,-470.6330054544941,-318.5839212855283,-488.2257695907518,-577.5108465867942,-537.2758469855702,-523.3809783716214,-465.2919728827669,-509.27254636474817,-362.3090272244986,-562.2029685801405,-498.7958128801971,-508.71387509300513,-367.9510570063984,-393.62866072132573,-400.8113470837211,-393.0606501432094,-389.1508843590132,-518.5877171613424,-411.9380856747987,-466.86447681643057,-514.938943022134,-546.3271546256148,-436.0276137885001,-643.6999883364348
7,-627.5967768813916,-654.8861724669794,-575.4171060269631,-820.7914324503043,-534.6308889280008,-494.1127911742777,-441.4875804104596,-363.88446233435684,-505.97691778908586,-569.9586938311837,-433.8369892879754,-407.9953884230244,-386.42219295664535,-430.6362654172564,-318.56476886577315,-435.3562072077548,-253.03247573995063,-347.3944046727304,-314.9692408417426,-282.7704107482156,-542.3913060915892,-305.69956180232975,-313.03813706039807,-323.8524611493508,-387.00768507882503,-359.94826804248856,-457.4417364713449,-335.338670329104,-408.1748855803533,-209.38633979209933,-344.1250526594323,-374.3551432918619,-322.3066766693204,-313.45109505440666,-367.66664372770066,-469.79641206328523,-382.58114172764795,-349.1396378289046,-410.20456050952413,-413.157613165698,-466.10408741337443,-281.83900324192206,-569.9330038634938,-334.4309956897075,-323.85581691822836,-536.759591123544,-324.0947133129236,-340.7556965830959,-433.0426344819668,-410.60790903651076,-343.1449897941543,-583.6651833465596,-347.42737738847757,-485.66219175484883,-415.1373819975438,-470.49680732806985,-350.956830408044,-446.67142584420446,-428.77109618942353,-509.42178105968435,-446.32221516286353,-471.1719706285393,-399.52788076714836,-389.23982458778,-278.55809536482894,-410.7854476209745,-528.7078233248997,-442.78037883521796,-389.8877787343504,-365.82665956701334,-472.4214943624902,-402.73900759019006,-333.214114915091,-480.9005104589711,-525.0889434957498,-391.41357503819427,-590.2088820593259,-523.9782891150912,-393.3862896702013,-265.0991221795213,-445.36340643713976,-474.5324360301472,-552.1327408633109,-496.74762755841294,-376.4192246519111,-411.28654732310366,-483.9279690792437,-444.48206156365296,-488.6146388857616,-546.017865549342,-374.68807409982105,-510.55468851624306,-425.115901555505,-466.9981230747992,-367.56321810402954,-351.11049525234176,-351.998423915308,-438.9733349536687,-334.09657044480974,-440.79061404763837
8,-696.6795689235547,-616.8263570628657,-616.4030148264553,-743.203795769655,-331.91953188213756,-293.4905131924571,-619.2179367348759,-470.92021660888884,-279.50882181749733,-496.5179775729967,-487.77630450054113,-347.4645016539669,-590.2747378462115,-472.58558751107955,-562.3807995708751,-558.4950960585804,-420.8206847532207,-288.8801530668181,-478.45868642197223,-412.954387418766,-329.95075033113295,-341.7124827705504,-365.13902636495277,-431.9913945649317,-317.6741412496,-282.5774954388384,-443.2100820935864,-423.62063889738664,-389.29493950342675,-302.2865783602118,-427.00713079864573,-326.0711380450767,-454.15473773538037,-394.9595892843965,-344.2109386482904,-370.2208053433174,-337.42451231212107,-354.7552667663283,-228.5273972666877,-322.1789834163353,-309.85119767363557,-332.9610866039493,-195.94001911558772,-439.93612815564785,-425.50115056411477,-241.6914525400984,-437.70454047651356,-399.3203497071036,-348.5147584369254,-493.46667079916256,-420.6262801467211,-481.5886226435794,-344.8498538240675,-353.8139038786573,-356.65194047968265,-448.7098363292548,-390.3427622259368,-467.1476630741957,-363.3916319847619,-454.9381983256248,-404.8159888092763,-333.99407495295804,-292.19006489263563,-410.00007263003306,-414.7206758495791,-469.009027804303,-354.67967329460214,-525.1222961808115,-429.090844808108,-453.28290724461795,-341.13653558429564,-388.05601424373117,-308.7849882777435,-389.20765565069945,-313.8330530352068,-417.2367779365474,-302.98155840914706,-388.5957339536778,-391.2878811036442,-312.9719321587117,-435.07402963812757,-340.85858459416454,-426.9217901350607,-507.98513695034427,-451.1446637074699,-337.3863027395165,-516.1989915462477,-326.98378015075616,-499.41384370939994,-552.325252002447,-316.990255809133,-505.1547937777057,-452.78873615080425,-418.992428310509,-463.68616319044986,-347.55737437527847,-415.6812228464218,-397.5714844179219,-441.0032524330132,-494.59819557064634
9,-563.4892196496224,-609.5008604234984,-660.0810805686131,-702.1581278844113,-537.4485800437044,-563.5853910669235,-732.0522042696919,-481.3519337367265,-415.08662667511885,-491.0576808993739,-529.4968123571317,-533.7368529901721,-631.6018524385798,-408.12175407061545,-321.4194211204971,-352.74717328795754,-363.09748280528055,-325.8436441988604,-452.36070918843393,-493.9004048686676,-460.52550210785756,-482.2815920232693,-467.7370481489534,-408.17409099075815,-363.82035789302785,-328.25257357427796,-316.2407252348753,-231.6849534837802,-469.85898089583753,-463.1169373159092,-463.18581419214945,-428.00282426845,-364.4726357857247,-458.81596463013574,-621.5537760071045,-405.21772027579357,-496.6603360032061,-549.9798523612375,-343.5493014805228,-454.88006896557414,-309.71052772050604,-436.01360092574487,-424.63337193170094,-324.58405445167534,-448.10139297598204,-413.936463825745,-482.1192942510769,-320.83311149664195,-312.7939470645881,-277.16313865231405,-301.84143085592785,-484.89691222024817,-347.14967403531585,-330.49402072042255,-350.21008805792724,-480.08528712318474,-320.39289325744164,-338.1032640782447,-474.6169845087292,-400.61100324438183,-333.6943544494537,-354.47192507715044,-474.2787106096833,-231.04555941381906,-363.326513573109,-351.4757165036687,-299.24437532184913,-416.9912261785796,-468.35644187931365,-463.8211858488907,-446.423788402134,-356.413714640167,-520.7141065268406,-477.7791919546528,-485.7333950843595,-190.52205676684977,-458.88961930617444,-412.72254832967207,-388.1007350838119,-583.5855600362106,-631.5738733609948,-318.27717881562506,-472.4481286684949,-307.8831688343535,-493.1247316581353,-455.56657532589173,-409.38435515034104,-398.8582676166773,-384.59180407897884,-326.64805717406193,-383.5520545153397,-254.51800786686022,-259.477994004076,-374.8937300016558,-529.0879468431305,-483.4770979908384,-329.42772856471623,-304.51513774903145,-420.5658278951839,-496.9807482543823
