,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-1833.6404162539397,-2323.968191551346,-662.8069985991691,-1371.7212296301993,-2597.9320799711822,-2177.9611736252814,-1267.4018801503962,-1681.0427881757096,-1434.872855029444,-1626.6278329772679,-1920.2365011328307,-1845.79897000918,-930.3335709304587,-1011.5023302333241,-858.4397669020045,-669.3846507613472,-670.1862620541957,-615.887299916242,-486.17159088770114,-463.8973814302565,-786.4761416201285,-371.550228702444,-290.16770150316444,-319.61771702231744,-327.4286886607785,-282.208878464603,-404.4286649328301,-569.8731154464457,-723.2622079276674,-775.7652956281551,-465.5275961230534,-342.5536070890083,-362.90514955587895,-385.5447072395994,-263.60249861421335,-301.0256209067602,-287.0811004552942,-318.2023199911602,-296.0791532914747,-298.1599587230895,-311.189975287501,-315.07417819878174,-323.7470293914829,-319.8405061356842,-319.03404343484726,-313.1088573507176,-332.97933272439576,-312.14111343973684,-327.62100452279753,-468.8738458840259,-338.8169941116197,-424.9726141344192,-462.92305088425934,-488.7323815746602,-503.90797897196717,-559.0591864933705,-465.0414087740425,-248.6018727971951,-270.90022076740377,-241.40923609157775,-274.32616456807125,-293.8306977287768,-347.97630355659714,-298.6850943965655,-279.05357630920065,-308.35119147034703,-252.72638844376277,-278.56429809584034,-245.90978860373025,-265.67297059886516,-249.46472302509306,-284.252590287618,-252.2156492669956,-249.634186703482,-243.24770528318686,-225.00199263875544,-238.799556455821,-225.68588359386465,-237.65330209251016,-220.52451520198537,-201.50659893123273,-211.18064009779386,-216.5666629554965,-237.78494310485883,-238.62787863386689,-225.1950998711586,-204.1991020441367,-213.89213076912975,-235.91453750596952,-204.09365386691974,-202.29405563061871,-195.75492409909367,-191.9735707115351,-197.85894172759748,-188.96375861854239,-214.1853763305939,-202.01907589137446,-200.2024243435124,-202.31029146516246,-194.4773831832188
1,-1352.9747333879823,-2355.8003026758065,-935.5947075522258,-1065.224631617266,-1113.6142614518376,-1163.2105695017826,-1516.874937388839,-988.6732993567297,-734.3131019774403,-637.6615969314706,-626.8605936850277,-553.7138555698842,-634.3700954760103,-483.5115994668458,-375.9286775193119,-352.91930900438626,-383.5821169406728,-332.50389019265754,-372.3442473974769,-301.53596115889115,-330.83491942216625,-311.9267141435641,-285.15198095918294,-305.5777572416714,-275.48155079886686,-289.15345308585165,-288.44569636031747,-277.13499929290106,-273.2839394089022,-268.14623178546844,-278.6539000149215,-251.79147386752473,-284.98351841054756,-294.60943905460647,-325.4137601925169,-314.26495093225043,-310.1130452862446,-243.46085020068153,-262.80429535709516,-258.4781928119552,-278.1658816700743,-261.75800483151045,-260.9403433249447,-245.26679824720588,-255.2626492755252,-259.70674230497104,-270.2185716075934,-266.40068555218534,-236.71956132691187,-236.30694642728864,-232.0002365067853,-240.0125612437894,-245.03781018223086,-237.29639740044377,-262.68119800358807,-246.4424468765342,-250.63810715919033,-233.46973561650282,-232.86737123872393,-233.55194003698082,-246.91455225285205,-258.1359507404972,-229.51570283034025,-232.97369576350312,-236.12105034521335,-236.74207407820975,-228.5173040566518,-241.52778971655312,-252.10635275643364,-241.3235596334736,-389.8618031797416,-309.25684580207104,-275.3582730020845,-236.62567939126674,-233.66599384805062,-366.5672733929012,-315.2249359767312,-235.9208973279972,-235.53041823527406,-254.91987100177568,-248.90949648888656,-242.70433461386656,-240.96237670918683,-259.1522158328885,-336.0726815520403,-240.61297207395376,-244.64199944999362,-231.00179212175632,-233.06301955639677,-217.29893127747462,-230.77191523352957,-334.67543156281926,-225.13265725863084,-231.1832209438801,-227.94831078877507,-279.7318924751078,-222.35803949333922,-235.05126979612282,-228.51238254028823,-230.186878909093
2,-3174.901488366105,-1409.1232998839687,-1281.0568922169696,-1749.2856606974387,-1562.934458595949,-1419.0833326828567,-1496.8084302102184,-1244.7835675358754,-1129.978013809898,-1022.3865999160737,-937.291973581732,-623.4479436858352,-564.6520031955242,-419.0581110324103,-364.32279161064855,-398.5268426880702,-450.59837168225584,-476.63967777275565,-377.874881711701,-473.54718671766375,-463.0968842293963,-284.006525373148,-267.8087511302499,-389.93826334693176,-506.74863094144723,-649.6927381957403,-521.8337832675323,-563.4028809157636,-413.8402150410208,-255.90830873341548,-267.25020520036304,-231.04440250321107,-299.87219749618174,-267.1211209052161,-294.10781137616897,-259.2942528100647,-263.5256691713685,-251.2545531383794,-249.1871141898259,-238.0755807233684,-274.41900039235964,-258.9502068128353,-267.2695791677512,-308.21115099908116,-260.3052494460921,-243.34775095379717,-235.91142457311872,-245.8000594374587,-253.52943506191983,-244.12515590575123,-276.78196656733144,-248.06576418323957,-220.14063408048204,-248.57083327237268,-244.98539810351014,-241.00120629587974,-241.52735133541046,-232.66578290542688,-245.1551790740315,-252.6025234631922,-268.0103409791868,-232.31364759995375,-218.8346985726842,-230.64055456424893,-206.0278747045084,-208.1748812724587,-215.45325111845597,-193.89634652184304,-200.55325011286953,-247.5170458914047,-215.2459197086528,-206.5778218438103,-201.89093084558996,-200.00132559652482,-211.536011178646,-200.58141928608015,-219.324115115823,-201.2571534826846,-224.644454584666,-202.13077928157054,-203.02225050973036,-198.83157828129717,-205.8202107178104,-217.86928626446638,-210.00511095651825,-206.4243289693155,-214.26815769817688,-221.07313946126263,-210.8702471714947,-203.62640457869796,-210.41368212514504,-211.7004775066756,-206.65067608388966,-218.6827004656878,-207.44643689802882,-217.18044959764796,-222.29629129017795,-204.09611681150665,-195.80236130955245,-216.15618992072402
3,-2678.627346165685,-1580.3708457996916,-1544.6762355488934,-1640.804221686764,-1227.8955743413812,-1202.3123823775738,-898.838052444833,-1204.8083933242033,-1421.6098442865148,-500.69990416229507,-464.7331357207946,-494.588558523015,-588.1702223837156,-521.8436710985739,-441.31747848116413,-408.85314404298276,-418.57184402309207,-374.4471197714274,-431.3259059549687,-387.79207704552306,-413.7513207596429,-460.58895617093816,-385.91592205848843,-404.4692153496375,-387.56009436715584,-438.4411141709339,-455.5879940403836,-504.1377743689187,-477.7432895465029,-499.29012846159935,-499.1086737694417,-546.0165655181333,-446.0981450725456,-418.9337480019457,-484.8738984649075,-451.4818641435996,-467.9532330257006,-461.9965117429616,-477.483185345885,-446.1543444336284,-388.6151712013984,-351.10985313291354,-364.9988580285622,-343.18563178858267,-339.8858228603172,-302.06392144264817,-279.5816009417519,-284.89052471302216,-285.00928946684144,-296.0755478873579,-286.99151969898054,-251.69317377202862,-261.3446413075454,-283.3220010802507,-251.96702761394695,-299.3181043743567,-246.54987456884112,-245.53577352274382,-253.69099201105374,-269.45330705456973,-276.3461678205625,-259.00541979852886,-272.9008516449244,-258.4488443929871,-286.21639796873137,-254.43088769612731,-245.8961180011925,-231.1698985216555,-240.86513422773615,-251.90571464739807,-223.71704217536976,-241.1820998277135,-265.6999653892333,-230.69931937539195,-226.18273725332534,-241.6446852050311,-225.39308230747733,-232.0623145996968,-242.76506585257886,-214.94345777758036,-201.24056353680135,-214.1592927353549,-206.98094562242284,-211.08053988862014,-195.91583510255282,-219.835125301184,-215.08683287763827,-210.59809258873335,-201.068761962004,-209.16174487987033,-218.38543648481567,-191.04865036116567,-207.0808680777932,-206.90544571996952,-207.76466154416698,-217.62211513611325,-189.62145494799262,-214.13191264599502,-206.09508162203824,-201.21590307194438
4,-2053.3596349639274,-2259.416757029972,-2602.9872128073584,-2256.7920358421406,-2291.330418561646,-2028.1528342356046,-1894.5802432033245,-1421.643501322909,-894.6507356451062,-842.0999807302743,-890.6337207645505,-845.3362547238837,-833.3367286849744,-792.100039858406,-838.2634409304655,-764.3825693960097,-857.2270730800411,-797.6248454552621,-750.629339719944,-772.3820214508528,-699.6549038925981,-564.8844458102552,-492.76278818017715,-379.47341160817354,-560.5170448024885,-353.1561051386181,-614.4408179056818,-690.7283481739352,-925.3440304247443,-749.5885170300039,-856.76080342014,-715.1877873646991,-466.9754940564296,-459.69082498084856,-401.59219324879746,-597.2667113166748,-352.44928304697163,-385.1454674294726,-389.34667242618195,-340.6183045729735,-344.99195515878137,-352.47410616192093,-280.7591749162181,-263.57754448470257,-249.4801137836747,-265.8289153633484,-266.34635321979727,-264.71501674175636,-260.2479516369791,-243.93432263835982,-258.66502242788266,-245.17105612305002,-239.0993878996722,-239.4297149679768,-231.0790484502394,-233.74786974102022,-218.96590494013418,-217.27963567697543,-215.09946301925606,-215.6912739499161,-220.38297728198137,-201.80584719262566,-199.7665484567008,-205.07956434512585,-209.01927021154063,-197.5422363599052,-209.07635016855033,-212.5245106772973,-198.1875160659906,-194.56173987702857,-210.8039773120476,-200.74176339361262,-206.24585797116208,-225.85519844947325,-211.8307785251607,-209.48219890063498,-208.84533006263055,-194.81716238709387,-191.48971706165372,-198.82524694423688,-203.60014061444582,-201.34383471941746,-210.64626615915063,-194.66289182085342,-198.1805905268903,-203.15599068323374,-203.98988585266514,-193.0583661117527,-203.2181487374101,-198.1624764059687,-224.4564750827826,-197.83967431059185,-197.96821902947536,-203.07692161161268,-201.93357120098926,-190.47374310435887,-194.73850715944016,-204.49550250130292,-197.07396667046797,-204.93573395874665
5,-2328.94346929899,-1231.0115241478738,-1317.233299195902,-1321.0812104120637,-1145.8836465057468,-1239.9658546397277,-1070.05421250106,-1033.56140108448,-951.963737585718,-654.2266701767118,-691.1543707297735,-835.5247155577804,-633.7466761254346,-754.0706152321417,-648.0829790706467,-680.279902080959,-547.3959229283515,-328.7384684410775,-485.84581810258777,-336.7699741490615,-500.9569788296653,-333.39750511879447,-405.8865563706721,-401.7630439638303,-244.8868035582788,-352.672428710527,-247.1883720577387,-256.07866491222916,-239.24424683976667,-313.4424929013923,-341.7395499771314,-255.7014994004873,-362.1168091721562,-282.72772991735394,-314.24281867062797,-307.1878450916785,-313.5210881375787,-284.45148362731686,-292.0627139928923,-286.6070276354596,-254.26227608284387,-260.937907651198,-240.12750399079792,-261.40044850597525,-253.28319074877908,-229.9624045284513,-225.48543804300286,-204.51450802489668,-216.65177464388057,-207.2435629601172,-225.50027768196398,-216.2169831232223,-226.59559364544415,-200.42846981919942,-207.85700732955812,-207.97154820980683,-219.6543403181212,-222.89117649345107,-231.97272325663778,-206.91991214899005,-199.34002456547194,-218.79090505299826,-202.468576534492,-207.30107606032604,-214.51384331076525,-204.88354552347383,-201.70254442420458,-200.07779682668982,-207.86788023935594,-200.7133723108611,-197.08254989312684,-198.67525784120008,-200.54715609674133,-213.54439935305038,-209.51728642048067,-210.46797170823544,-220.02214819892146,-206.2376932492566,-228.19287839517327,-215.00507358845033,-209.38000772950915,-209.2627008650811,-215.89443603761694,-213.80405575003115,-204.51837180787945,-200.97376725369384,-216.18237045880673,-210.71931607034116,-203.80451525841966,-199.20519520536763,-201.78134863285504,-203.6940580129344,-194.63789309973535,-204.66939605248726,-200.09350017783626,-191.77656815609458,-201.14782267637113,-211.12912398239672,-203.59203944083376,-199.64148897999908
6,-1789.2367896481596,-2367.3180051539434,-1541.355930255716,-1844.3498094743834,-1811.0634771150822,-1652.3847943412923,-1773.1412679894672,-1025.7517191041177,-746.4634394540617,-737.3907371512325,-774.0092778552927,-671.6826968623681,-655.2527523434609,-584.1468858876004,-475.20364936970645,-263.61070725732014,-238.57637684402627,-416.4848614038988,-345.54854392593114,-309.6649953311063,-322.98782475691877,-389.5324233151433,-377.764636372302,-332.02246442578166,-347.2140287213242,-408.82564522433063,-329.1823943157039,-381.82978999581195,-439.9746166229708,-376.5050514710499,-357.1556285408664,-318.80372074520255,-375.0286086288504,-317.74670751240114,-262.6746336711306,-406.0312723325283,-296.7519921241963,-474.7310871424438,-369.67655228992925,-320.29272586116883,-261.82102593142235,-254.55824352111375,-256.09509859381166,-211.80270609057735,-265.1675597935957,-232.9096456321194,-251.4150508395333,-233.16996258509275,-214.17261232679775,-226.55670534260548,-204.80831779953405,-219.29873260100584,-214.51711835491915,-194.7885248425661,-202.35365090166167,-207.85928861878816,-281.1767245925866,-204.29545636885467,-202.96906743923196,-203.87985719686367,-208.19004806255222,-209.6094651770898,-219.1976512286793,-213.5815052888338,-210.94559931469877,-311.8159440006219,-303.6766233709289,-288.48564686415386,-323.3874058639442,-308.2319969193596,-315.3996963881648,-321.00783837412087,-308.8755636285471,-326.1778985774583,-329.31313086386,-331.60720346232387,-331.8478745425727,-306.76315117758685,-309.63250925368425,-313.1141543156415,-321.33594746781574,-209.76728082382846,-212.1021741360435,-195.00890342816126,-208.61071930522147,-206.33997819732136,-203.5178912906119,-202.68522344985283,-202.25221099421358,-197.4938999066813,-200.77596237616723,-195.5781387855617,-200.85329333150187,-200.97756601653322,-196.59213347892796,-199.73574317709534,-198.99613648937313,-197.89767003238995,-198.05093803843116,-195.41330818310257
7,-2288.661554787305,-2207.3608186525526,-1532.012060271596,-2021.294572050367,-1557.6831698554208,-1537.6851600049981,-1613.7119861075878,-1317.1853976580533,-1348.914391591973,-1312.5203191810456,-1068.1668368947837,-982.4202933216574,-911.1430187808055,-872.7629226492667,-622.414655677697,-554.4004210668841,-492.16594255232553,-426.0551449027084,-417.2181257711207,-395.7931408986735,-433.6600339391104,-409.06718187679695,-328.42611535988476,-525.2672120008548,-440.60323103700455,-274.2568614694893,-247.79423617659248,-287.03984028085966,-346.5579935323829,-311.24946075054794,-421.41014858893067,-557.0387639017434,-254.82616139701057,-262.61700706904753,-218.283556550367,-254.01229832898753,-345.6148053961558,-443.46748475806606,-517.9816041407623,-217.69609510735253,-385.86936518310085,-746.7490132139445,-221.32673655723264,-571.7986759942029,-219.83050253651808,-569.6469499442125,-228.09949947694147,-195.9049276192663,-300.72058862049414,-289.145152857138,-266.33981996958806,-213.4377161798917,-285.5325708605913,-262.4646836052088,-231.12646276188676,-235.7169998748079,-224.66029842257737,-225.2927356472795,-229.6415215132906,-230.74700025850953,-214.98463666450277,-213.62551894898485,-219.35923279323092,-222.4537312455218,-231.51227761540693,-225.8661675413535,-225.98130291654303,-245.8551713377588,-224.2533802650935,-225.87987876418208,-217.40751736712178,-213.5831488218229,-226.08479351684642,-211.70647412086163,-210.71782621733183,-212.99056257149522,-212.252756830955,-201.9309367047831,-211.23321470721518,-209.64153128190964,-213.89582875476526,-202.3804211814892,-212.64795949894216,-207.6735410735153,-206.23689184691244,-209.23694265316365,-207.2443712303806,-205.45560945132132,-201.03362439173907,-194.94212413528794,-204.06840490489049,-217.6270045185878,-198.01074579059022,-205.14391300940446,-207.27848404175828,-211.8344525943287,-220.2804865641395,-202.918067269273,-221.21295135008125,-209.48381129145454
8,-1984.504090770922,-1318.8503608504068,-987.8973662828881,-1652.2590600725057,-1243.160932556545,-1157.3297971696793,-907.9252423069829,-354.20722936239366,-526.433002572712,-394.6556242042935,-411.89542942336317,-480.5152989647063,-403.2455541621559,-347.1285014970497,-288.7127450844303,-347.500704349422,-302.6715855117886,-357.09540385324834,-267.76355605357725,-281.5486148847511,-242.85322001643766,-322.1764694363696,-254.77593609136517,-238.92224658570703,-250.43412494548284,-230.03502096940437,-269.40984885786634,-228.4481211077188,-252.5622236655374,-214.4943920379152,-216.63842348400416,-232.17712728178847,-258.7473354647711,-229.71955890762382,-226.39936903852637,-237.12191641741572,-233.83805811581408,-218.1538791124365,-218.50762055198393,-217.14850301852331,-209.38839014271636,-215.80901426662228,-230.07300590306886,-238.45771020382932,-365.6041081298798,-360.0601585021167,-291.44903767906476,-226.4815338081174,-246.65230261745452,-227.59876092631376,-231.18291462965715,-216.10763633664249,-247.54791990575794,-218.72199063332326,-228.85776371882665,-216.9285502237513,-228.2143346731279,-228.3574778913836,-237.14136629000512,-238.0888761632973,-224.3254227196109,-235.04558400049854,-232.6601212047965,-222.50274971659618,-219.33100666755985,-214.42397092821005,-219.61584577414666,-211.48067133674866,-210.6967898713552,-226.02803075362795,-209.06941750474863,-217.2287115149193,-203.44157029025416,-219.58634370489975,-203.59074956050048,-208.72504152087262,-213.0394496687191,-210.64665565926424,-210.91589484329643,-203.0593382026509,-216.11370153589064,-215.31441399684942,-201.0867085606614,-198.5693525742491,-204.93238047538753,-200.41597356963155,-197.72032762105906,-201.86054578598436,-205.35008980714977,-199.4174634094798,-203.27280241592985,-199.66981892910204,-208.47838907207753,-205.55762313500009,-208.14088451071245,-203.07986601803157,-199.04823565485634,-199.70546314323784,-204.81556519057872,-203.28626734834066
9,-1513.614120171963,-1467.8787696736654,-1846.0838538417177,-2520.706218519694,-2301.8404768204114,-1126.4263767601901,-936.3507301704275,-800.0345464452115,-697.5951767565257,-806.5044690083449,-803.0442358617613,-691.7222129163151,-695.4901794954209,-541.0843499304765,-648.1913732502937,-498.0567286876282,-405.5779655610631,-626.4170395836231,-402.04213477999616,-344.72245887659665,-374.89158232901735,-529.8746593094538,-304.224788565062,-366.4197738887162,-363.86133034735144,-300.6699751549564,-356.9111984202887,-277.5640962407354,-306.4409480927547,-287.2155092221044,-312.0729816334705,-275.50970601861275,-235.8696440140513,-269.6294076712472,-228.6771760452975,-216.60154617859519,-473.6137318846056,-600.6516235707198,-415.16078065284074,-518.4227346899667,-460.4064324014645,-835.6844931620641,-317.08340070509985,-293.75341300835646,-268.6801070081202,-250.5615999640555,-253.90932739030333,-231.7624683751679,-207.05098407650826,-217.14021981238187,-230.85585865925773,-239.9052119071448,-232.49756745091182,-222.20996496220047,-237.88764912252515,-240.8695849565383,-231.12629697591134,-207.14144325832038,-213.91210578310296,-222.12136159227725,-236.2218855060796,-231.0191337511364,-213.5494343105356,-225.11344225766132,-224.0570873067759,-213.4149024047957,-219.9813060350841,-236.44831089179124,-223.94912849885304,-217.75740902860517,-237.32875294101834,-228.19536503355175,-230.71774290880802,-228.3490549524526,-226.38819227822015,-239.90976099288238,-219.64245733315795,-233.20819721475763,-220.90640506188365,-219.8252624071387,-236.32489045841757,-265.2885706596231,-255.42998086996957,-228.23883445938563,-241.32210394320182,-227.14663629613742,-325.340460211974,-244.97736662197283,-223.31424672687746,-230.35991176082007,-228.26673134907585,-224.22257717409838,-265.813928785473,-235.8293337219348,-206.77615332083877,-226.80088921350998,-243.94554330706765,-227.0226914702379,-266.8378314759983,-229.7421231427927
