,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-1952.5171774192474,-1883.1330082976017,-1411.799141836371,-1305.9620243218264,-1165.2738006656978,-1129.062800633634,-1011.754973198812,-998.5740932837618,-902.9498960981908,-879.3405124737501,-786.039188844254,-799.8770935897692,-949.816005075574,-644.7470018944795,-539.4149720622296,-522.7059303899673,-487.1319294544643,-450.59282453001265,-382.60851806211184,-301.9370167272729,-311.1646182118882,-264.6606012724301,-250.88242396945552,-233.93497939757768,-228.55792331730783,-229.55752215772517,-224.25527298957138,-215.96070006400558,-208.89233390409237,-207.81132982965218,-214.13004075696014,-208.09452335786452,-202.67730876676922,-211.96470140300121,-220.23198362784692,-212.96169699240068,-225.22030646708393,-214.083341289928,-228.4770188948684,-250.3721845826599,-224.0145165853997,-214.50824495295925,-224.3839675869239,-217.06164716678168,-216.39351291149933,-224.20321330330913,-210.30589508433704,-236.43767968977264,-233.8217013694799,-241.5332858159153,-241.3079123677612,-238.53455494618538,-495.3792157580175,-244.54115646710554,-231.2544127589647,-252.0742843332101,-217.12027982750058,-241.86609068736036,-219.66698002190782,-212.07099362134937,-232.13865197355207,-246.46627964509088,-253.05112291041812,-209.96610496168026,-264.76720119594705,-543.6032534678003,-280.2773222400544,-291.1915533503581,-299.4674700672715,-519.7151130432663,-529.2294489839164,-258.90466859888187,-254.4460657911888,-308.2228840181518,-272.20123543422125,-276.7471154182004,-255.60701175585504,-259.3613660172654,-241.6084038653373,-257.43157558270593,-262.3831685274343,-234.58703979590172,-234.80012091230765,-262.0662170543894,-265.2152333062101,-232.856047208635,-255.8411076971509,-232.42112169127392,-248.95918523101074,-227.0534749318167,-215.69655896449854,-211.4998219345222,-218.6042696163234,-226.25460778743047,-209.2767360382716,-203.40497921363655,-209.6171079337855,-200.06388254502212,-202.3554976196832,-201.73352114595846
1,-1587.305151379292,-1137.3446990868692,-1610.3483107859818,-1422.8533010341148,-1328.4779134483485,-1163.9447242200365,-1196.3876805911507,-1226.9738356579587,-1089.3615045217693,-934.0596165182945,-940.706152682946,-648.4215826676875,-478.3442170450013,-469.7104882696937,-494.5169860700299,-402.52716349443114,-386.9832431220696,-282.91528547755945,-322.4388164010544,-443.40994495457176,-223.03793684171546,-458.60304978431753,-653.8498194944478,-672.4666792271702,-425.706947923379,-436.40117658368433,-369.94213993497556,-213.33871601792885,-473.1910279849646,-268.41719136543986,-225.55993419487632,-271.82064869701793,-241.97486928099212,-242.41758269204612,-247.677830668238,-224.5104896556936,-227.05352295853598,-224.71898558222176,-245.54918264878847,-220.2268173334206,-206.51937927419476,-203.14599265267287,-209.589518321677,-200.64970308335066,-217.89513048140105,-224.1801442939087,-214.15954421103277,-213.03585406055717,-203.87241068253556,-198.76093477123558,-205.19423318784328,-198.92654208399657,-207.2370916525985,-198.04168436397734,-205.81105972236594,-199.28888869190004,-208.57220962240532,-202.0638722655605,-202.76493012396114,-207.27966807639893,-207.95662279645083,-206.69164088394297,-204.3204738089916,-209.94353559204083,-199.37737293206763,-205.02362792816356,-203.96076993827847,-204.76939041858353,-205.10312604502235,-194.01363737262253,-196.13643621875036,-206.15082418165912,-205.48725347744056,-201.07376376748093,-209.64762827227875,-194.31836341435792,-201.88139186063947,-204.93714007572243,-215.4822596324756,-211.61042059572733,-201.78240530015304,-202.84520377801562,-207.52239821831847,-207.31681080859383,-197.43839679671788,-203.32098369619717,-211.77937992106936,-207.51645109664108,-204.27609598475007,-205.88055659999185,-199.52635801085466,-205.9842729081009,-199.59505428825983,-223.89364390415474,-197.76744223521953,-208.66666617539903,-212.29828196477015,-204.01812843811797,-205.16318206917703,-210.42483385732672
2,-1599.0520150796967,-1781.8834855815362,-1479.803793106144,-2213.4992283265533,-1494.1543385231548,-1193.9703985270687,-968.3218404051901,-906.1826426221722,-821.7374144452505,-712.9750859007378,-710.9574215723696,-753.7278101298645,-643.8123427777476,-789.343042034412,-642.9702722716958,-608.2626946946122,-655.8229901604433,-789.7320029622412,-674.7183289440482,-536.324426352953,-752.5003903652462,-686.474132745989,-707.6853279805927,-376.13990071320876,-285.5317646386289,-254.1955979087323,-265.03529235658624,-271.1619461545977,-278.0012111493272,-215.26345235898262,-252.792716600454,-271.4470846265118,-212.7047073582746,-223.42609369607436,-211.39416916419185,-212.57844202876038,-219.2586615753274,-219.0303788377588,-240.68416935065935,-213.0221738410496,-224.61539601894864,-232.88799679368938,-218.29121503955426,-214.6706535270508,-221.88564193873,-207.0645710575437,-291.08597031709513,-359.95414208962376,-329.7159532476495,-304.292919233491,-213.22378188439595,-226.03532103474805,-222.2590352460976,-352.5220452488179,-322.88441664137946,-280.4715983948005,-206.10374326793982,-283.0790842504058,-231.3971064046276,-213.05288096025524,-213.813396588086,-252.50799823005462,-216.7838443620397,-218.65212408438248,-204.47412360397337,-239.09891992473277,-229.42674851772733,-243.61551951128277,-233.22829182335667,-249.70778439721974,-203.55682380402027,-219.0954737297018,-206.59704649412305,-206.10626642635341,-205.16236045488878,-188.96590899571197,-195.078331400744,-206.9990039582974,-193.74070459253926,-197.62882652959775,-197.1786973630825,-189.16385175474323,-193.39310534020876,-200.08258533992023,-193.13196798362802,-208.94536430167884,-188.85224013657694,-198.78251340189777,-200.81148562790372,-191.0900801308415,-197.32179300732253,-193.79137284040885,-192.89447529077722,-192.12451221104288,-198.04598599681884,-200.32495899837014,-196.7861067070365,-200.027906677638,-193.86784078511454,-200.67997085198843
3,-1378.8455822315823,-1390.6517583915427,-1511.5702212719334,-1533.69098921335,-1583.0387516145074,-1205.8291642005292,-1303.9873724981262,-846.1192765625241,-720.2990915759805,-938.9761812224745,-1127.1884387371738,-677.2861727573169,-640.526794294686,-640.9063327752624,-547.4866719300072,-556.822121467249,-454.58170091262366,-410.28510774522397,-372.86369283516615,-299.34121961440417,-255.80009872200733,-276.3195109494349,-267.80379375935274,-252.1865839007006,-246.9592883750312,-200.64055305517016,-264.49909618142783,-261.9619224250093,-228.18897265770076,-236.5300549772938,-237.48618021672755,-253.43524694864527,-248.1195300958018,-246.89894738524083,-231.17317597031442,-217.83920277007076,-222.01895391633155,-236.86945584415463,-233.29384039954508,-225.4023297079576,-223.1918802445663,-226.33024216791878,-225.51776377160027,-214.63689661175164,-209.09325852257635,-213.30010543781128,-223.4823730481429,-220.17034325113463,-213.14949873795456,-220.0764707846065,-213.78227672119888,-233.26716849450955,-223.70144225142752,-217.2520143666386,-233.00339425854452,-213.43948904671586,-214.69188666289588,-220.6672813345889,-211.90260826150723,-213.66742504992126,-225.6450966319163,-220.5481306549084,-214.65960211844768,-219.0255915780323,-203.630355929284,-218.37622241862343,-215.66582254859654,-216.4972008587762,-204.68087014768807,-204.87771003729682,-211.35975118722922,-206.25233890062836,-203.56197255745562,-209.78482994828502,-215.686093334845,-209.9535500598683,-224.17425333782745,-210.72812049703919,-214.91373546121585,-221.27176303521276,-216.79609434880302,-209.0290183455623,-212.94121999721088,-213.05639426914433,-218.08379442363582,-244.79332371090476,-216.02740666195132,-206.8586031013417,-240.03806724970042,-213.9081365643327,-237.20816588124663,-219.7988564645353,-217.7046721046609,-271.14987152462703,-231.53445459086126,-224.24788309522935,-200.62452707998168,-210.03190512063406,-206.2139787138367,-203.64265217981864
4,-1625.0225778770248,-1590.9660799383566,-1247.996585380252,-1082.795950853599,-1042.437834826213,-783.7630263768226,-816.0467484210028,-875.7127129211706,-681.1277432928649,-864.5674766808736,-809.651773458786,-787.616668418832,-997.5171488749031,-450.8840079556456,-405.93469966869844,-346.72013671532426,-436.9925727414709,-349.27147941095893,-432.33002629793924,-340.2316999161908,-344.13261070826735,-281.60022255546227,-247.95500766656852,-276.6465430952455,-267.31629602067034,-249.40115441363346,-237.630402258898,-256.1964812920463,-263.0261448147843,-281.8203154582894,-276.1879905271585,-319.4654158630494,-342.5121912214347,-383.05056867537695,-591.5655071469205,-659.3682110717442,-453.26385825367333,-464.77003334779675,-380.69753706106644,-474.5003504555425,-306.94401661064427,-265.75715711472895,-231.75867190530226,-232.5192643097301,-224.56166219980128,-222.4315709552781,-231.17152980959574,-228.14091711638363,-217.99576807070468,-213.56451401657068,-205.84820046787377,-210.545566602139,-204.38300533039433,-206.5192852139629,-222.69396583309407,-215.8414209433012,-216.01923070408105,-204.13099376357252,-205.6477324956072,-210.10160544462423,-207.50103227565492,-204.71866132380626,-202.56778981201938,-200.21148469889602,-196.45064480768679,-196.71933045197892,-198.54981397424967,-197.04450724337823,-198.7474273551527,-200.6791800547828,-206.43100665375982,-204.25596196476562,-201.67297248398168,-199.72307122047965,-195.19095059098694,-203.8416340691394,-197.79187798772102,-198.64092179519383,-203.32458935992693,-197.1233600121026,-196.96442978087876,-204.4776139349467,-201.62096907688232,-203.66054178301087,-209.5539026494448,-191.73692183522144,-211.6514782598045,-198.71797005478004,-197.80789878157427,-202.4524048509774,-210.0650372626229,-198.31080514264573,-197.53955225037265,-200.03491642406757,-195.80977758430294,-207.6867746253671,-200.40581024250977,-194.97454532088094,-195.87834195425506,-200.3972523188682
5,-2223.8515110215744,-2445.410758462064,-2288.4172251480763,-2205.364987434457,-2191.789403446937,-1603.4691231018726,-1402.4954498940833,-1485.37177652327,-1655.3584000227113,-1386.132414994208,-1746.5859352538655,-1292.1038528517859,-908.3110720730357,-508.0403046926358,-620.7034115502848,-402.9739206256674,-455.7594761232246,-424.59913832123965,-516.5988566297839,-443.1975179727586,-473.9243650634749,-422.87367844884136,-514.5563799447518,-555.927388143889,-511.6112215233716,-361.9567411383101,-419.69775598037955,-364.1187503649594,-311.0449707172862,-312.8191119693286,-259.71362658631296,-213.14553019497396,-277.27498220128524,-249.92424721273846,-235.81905190702608,-242.00185100745782,-250.60301075240002,-262.3237249415957,-283.4175683823075,-251.62840646337582,-229.37035572782517,-338.98690057514466,-253.50326218304104,-260.13750554986837,-223.59069213042764,-207.90307439440886,-254.51005849704242,-223.40578553827348,-212.50585597955305,-218.43458325137368,-207.81941014609137,-203.7258637391854,-204.405905906727,-200.13227128217346,-199.4437732793021,-218.3447306202396,-212.30631251641307,-224.89636647871362,-234.00963119682356,-224.00478345554487,-213.50617237810076,-216.7656369068574,-228.53993859660022,-209.9865162002564,-219.15215358489178,-198.737016187296,-202.13329541300746,-196.57164609510983,-202.10545740105687,-210.70786726903708,-199.8942653825846,-211.24674481398188,-206.64165077215927,-214.8677038596585,-200.21429683621076,-203.5551544555555,-205.8817098590776,-196.25530888788563,-220.65450239951934,-206.68825850306234,-193.36454121133644,-194.86522669686704,-192.71477223471905,-188.79589124068673,-198.3877584466413,-194.09138703478214,-213.04067972043606,-193.71490419642856,-190.5006145600904,-204.44911760075266,-198.75258359409833,-194.84176345698933,-195.28213700811799,-190.25679137388315,-197.44366918594653,-191.58549850688178,-317.95071810200517,-323.4109410913124,-413.5188599217688,-925.1582102423158
6,-1472.4108473817714,-1461.9117377029409,-1378.7677445568322,-2998.825430889755,-1250.3149185381758,-1396.6956044298804,-1705.5569476774558,-2329.129188853922,-2134.46761147854,-1163.4350890894914,-238.277914296273,-341.3728272252681,-307.6602861442842,-324.5656151340845,-372.4211267270983,-276.11889748886665,-299.26532371260157,-233.83607259695899,-215.54304897545214,-220.30530085385814,-268.0923953941605,-309.6697215540598,-299.10109525208867,-278.27230098361366,-287.9752509276662,-264.1805759677654,-284.7541428510902,-256.7268034285038,-285.1224207834461,-266.1628070179697,-282.2550323081441,-254.13249249412536,-229.35674649918755,-219.26316094145383,-195.94608914589514,-223.0526862993376,-207.86923040936387,-208.49237871453587,-221.11265395880596,-225.1046326366696,-234.00732095375858,-232.68710135730134,-266.41417122059664,-237.6778829820774,-233.17570543979207,-238.8837649548524,-248.6486771409794,-246.9767300779895,-222.98795460262656,-231.1797794574083,-229.53514521844923,-233.47172016550633,-237.24648712527068,-208.91950020749638,-236.140803362098,-215.30035523118255,-203.72940856078228,-225.6922913107711,-217.56280897837973,-218.958291833289,-214.1017685130316,-227.66144704313137,-210.00223867598672,-226.9248177933087,-219.41619546661312,-209.26074806390542,-220.67464057128493,-216.4159658567,-208.8691216256267,-203.91185408285367,-214.21366399351442,-212.39665783472392,-197.11801175844695,-213.6452876903406,-205.57549080788874,-206.6793471290135,-197.81636179254912,-211.67837720516704,-203.68134964083416,-206.14326566199492,-192.00346912895864,-207.57537860896542,-203.41710960280298,-207.87594297345876,-209.66162987742024,-212.7280867172963,-209.5414330189209,-220.98520913588285,-213.8529179797569,-203.91789733219937,-206.91322638523866,-202.93397704492364,-217.60920874912767,-198.26421595127982,-194.70892040116254,-208.07349056681224,-198.4509347102909,-200.66839311083933,-197.26304721015782,-195.57684553781758
7,-2361.1290822387555,-1547.7937276942657,-1309.0980338800036,-1310.6041520156775,-1088.0011384766212,-1117.3806860146458,-1509.0403512053413,-1654.582643153474,-1185.2328247674825,-1433.9907415381972,-1062.1790345459342,-1044.3552457233325,-911.3610920921254,-909.0924831540865,-934.5688652323137,-771.9115272297781,-545.199627650923,-464.7550635436172,-501.9098508634933,-604.3232046703466,-656.4405573896162,-459.32362374915886,-429.2862173363308,-403.5972432301566,-442.302788369111,-481.7260511041862,-430.31574403724915,-351.34214589062015,-342.2464179054722,-343.43293753068565,-297.375172047676,-328.0874653325635,-315.8759912383082,-374.414537575051,-297.09497616514426,-287.98000279367716,-295.52001635176737,-296.357246577335,-283.46733664043114,-396.9761947653287,-457.51500344760035,-278.60409768238907,-347.9832356479787,-300.64419546343294,-278.4106322062858,-242.69607159139267,-247.6480499581131,-327.6472617854435,-251.391119966375,-241.16479238516135,-245.62262436930948,-241.4252420246635,-275.1766318685623,-281.79468712161326,-256.67994382550364,-276.4266859133219,-272.47948838755724,-278.18271631207335,-238.99451908813504,-250.52298641120598,-225.1955556350623,-207.21551255884066,-219.13132150454982,-215.14538942990922,-216.39944891865125,-210.68100322492148,-220.99544143275756,-207.35471699782195,-205.64142222979092,-198.84982327512662,-203.2715272567736,-206.21988997464115,-214.3520370903034,-205.62596381855244,-206.16763692374525,-221.86317838384204,-194.58381013063683,-219.54562731027858,-209.6352893413777,-207.05793128991863,-207.30957694672497,-199.80278753678806,-200.1459163575875,-204.4193587402233,-220.30388859821053,-205.0802821224834,-206.04896734256346,-211.84079138209228,-211.55406760221177,-207.26886203178114,-210.10965319366565,-218.85294365436522,-210.1353386878728,-240.086104598133,-205.72024348718983,-212.3261891414883,-205.6147007317901,-206.84845090427504,-210.95173310803722,-211.24865062803033
8,-1583.4987738097543,-1637.4743510419623,-1698.280510300702,-1998.0262366506915,-1812.2638922404028,-1059.5623900656947,-1113.1361192345046,-1305.9344293834977,-959.3581194085949,-795.4650296983924,-718.6093404131573,-996.9793698722756,-1030.4516733138905,-820.0456148218655,-719.3576207558827,-567.0025672069088,-593.2141703339439,-495.26191355390023,-457.82439411254853,-423.44887836628965,-625.386259543445,-552.162253922618,-486.1592184580794,-285.2893541265394,-474.35117305696804,-241.53900488108064,-291.9817217271185,-262.00509453734725,-279.03337099142584,-401.4692717714936,-235.68055076809213,-345.7655675766898,-270.03802817485206,-324.1949340598823,-250.38194949667837,-381.203256107816,-226.2846012851596,-294.35798856381274,-470.9060706830039,-453.46558352309887,-423.8308036735703,-486.757105843511,-478.88772857978154,-538.3028188091903,-520.8946046994006,-519.9259552324036,-514.0103150153047,-447.19618631167066,-477.3993724869119,-695.3375067641689,-557.202322473312,-505.3630844065962,-420.3254946209283,-484.2062397094452,-424.09249876771213,-383.60664805462363,-355.7790344286693,-406.79296548517675,-323.7565911575191,-360.7303399294192,-326.46276766943737,-309.8587836011113,-379.83488479352945,-330.2258950437363,-294.85223723884985,-315.19708978321205,-245.35082725148771,-260.1941104972507,-249.08092448262283,-262.2337394945086,-262.352355409826,-345.01888541787866,-244.1978357015622,-225.3182994104475,-210.95112222679435,-214.5907156259039,-207.02403829106095,-217.846883364852,-222.74790486404586,-226.40616166178893,-219.0779556278506,-214.54737226724708,-206.42737936716583,-212.96713385029364,-217.67779316450762,-206.6858687008785,-217.0941876131893,-212.87885256210427,-225.16152115045966,-212.30301337644377,-211.2311160603719,-228.98231114204523,-219.53567056754687,-214.55778707523658,-223.72483139910753,-213.5815536209112,-217.8122061814049,-211.15331743208245,-223.62359063671312,-223.4516659867026
9,-2164.8037145248063,-1147.2476291867008,-1195.1567271324554,-1183.0338820587563,-1105.0947298129615,-1189.6528449588523,-1100.3526160825459,-1016.9046184821094,-847.6634086911492,-518.4724586510464,-972.2426196773284,-451.618756730204,-482.87049238713087,-564.466910396408,-444.55028152413996,-631.899901889114,-523.0209376586135,-457.8433302569166,-557.1359695990875,-580.4119036895863,-300.9301678963408,-539.4481077044742,-294.9125934771439,-236.42817644705244,-242.82888125362027,-250.8760386703208,-252.31316306243428,-241.3357117202636,-246.50328656289162,-256.07467991915667,-233.7668041716204,-250.33565888154507,-226.69014230198016,-240.28298900124818,-228.22615447594367,-237.44451492284352,-225.60196762886346,-211.6295946266048,-214.93001402260484,-223.5501871928994,-220.42783325299155,-223.09390049812419,-233.1129171058435,-230.37250211722832,-248.54435700324137,-217.53435170112152,-222.20750392245046,-237.16207400826372,-223.83811803843287,-210.8462410351096,-217.33984590708337,-218.7793358389234,-210.93108259804535,-198.9821785841994,-215.91134099545204,-211.46111198551893,-207.2030146243725,-210.48705353054422,-207.78459315616857,-206.25359040091132,-207.6517268865716,-204.04286678693296,-205.4815467015283,-200.04578357897515,-195.21424187248536,-217.98140107301555,-220.78796261468355,-202.94763563895813,-201.0225006812096,-209.38846879310668,-219.88526892282326,-199.4110952854679,-205.70450683115135,-218.7882547599124,-220.5407206424934,-197.23594283875684,-198.4224829122565,-198.01334602256844,-191.01317952084378,-202.98845725642627,-217.38591027791028,-198.74257250954395,-193.5704107207807,-196.2743579946071,-203.73073959748533,-208.1918316771556,-234.947035790295,-195.3542171185268,-202.1873131432881,-205.96413713190938,-197.79441273055005,-233.64643721571863,-211.4203407908371,-217.47975267918562,-217.79187349055698,-205.13463276480607,-205.2153094673744,-200.01814037161623,-194.4415450933076,-201.9600237007054
